GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,IND,NO
2023102903,2023-10-29,1,8,50,IND,NO,2,9,82,0,0,"(8:50) (SHOTGUN) 10-G.MINSHEW PASS SHORT LEFT TO 11-M.PITTMAN TO NO 17 FOR 1 YARD (23-M.LATTIMORE, 97-M.ROACH).",0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,370,0,0
2023102903,2023-10-29,1,8,8,IND,NO,3,8,83,0,0,(8:08) (SHOTGUN) 10-G.MINSHEW PASS SHORT LEFT TO 11-M.PITTMAN TO NO 10 FOR 7 YARDS (96-C.GRANDERSON).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,17,OPP,0,,0,,0,412,0,0
2023102903,2023-10-29,1,7,21,IND,NO,4,1,90,0,0,"(7:21) (NO HUDDLE) PENALTY ON IND, DELAY OF GAME, 5 YARDS, ENFORCED AT NO 10 - NO PLAY.",0,2023,0,NO HUDDLE,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,10,OPP,1,IND,1,DELAY OF GAME,5,459,0,0
2023102903,2023-10-29,1,7,2,IND,NO,4,1,90,1,0,"(7:02) (SHOTGUN) 10-G.MINSHEW PASS SHORT RIGHT TO 11-M.PITTMAN FOR 10 YARDS, TOUCHDOWN.",0,2023,10,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,0,0,0,,10,OPP,0,,0,,0,478,0,0
2023102903,2023-10-29,1,6,56,NO,IND,1,10,25,0,0,(6:56) 41-A.KAMARA RIGHT GUARD TO NO 29 FOR 4 YARDS (38-T.BROWN).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0,484,0,0
2023102903,2023-10-29,1,6,56,IND,NO,0,0,85,1,0,"7-M.GAY EXTRA POINT IS GOOD, CENTER-46-L.RHODES, HOLDER-8-R.SANCHEZ.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,484,0,0
2023102903,2023-10-29,1,6,56,NO,IND,0,0,65,1,0,"7-M.GAY KICKS 65 YARDS FROM IND 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,484,0,0
2023102903,2023-10-29,1,6,56,IND,NO,0,0,100,1,0,TIMEOUT AT 06:56.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,484,0,0
2023102903,2023-10-29,1,6,24,NO,IND,2,6,29,0,0,(6:24) 4-D.CARR PASS INCOMPLETE DEEP RIGHT TO 12-C.OLAVE.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,516,0,0
2023102903,2023-10-29,1,6,17,NO,IND,3,6,29,1,0,"(6:17) (SHOTGUN) 4-D.CARR PASS DEEP MIDDLE TO 13-M.THOMAS TO IND 40 FOR 31 YARDS (45-E.SPEED, 38-T.BROWN).",0,2023,31,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,523,0,0
2023102903,2023-10-29,1,5,37,NO,IND,1,10,60,0,0,"(5:37) 67-L.YOUNG REPORTED IN AS ELIGIBLE.  21-J.WILLIAMS UP THE MIDDLE TO IND 40 FOR NO GAIN (44-Z.FRANKLIN, 96-T.BRYAN).",0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,40,OPP,0,,0,,0,563,0,0
2023102903,2023-10-29,1,5,3,NO,IND,2,10,60,0,0,(5:03) (SHOTGUN) 4-D.CARR PASS SHORT LEFT TO 25-K.MILLER PUSHED OB AT IND 31 FOR 9 YARDS (53-S.LEONARD).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,40,OPP,0,,0,,0,597,0,0
2023102903,2023-10-29,1,4,26,NO,IND,3,1,69,1,0,(4:26) (SHOTGUN) 67-L.YOUNG REPORTED IN AS ELIGIBLE.  7-T.HILL LEFT TACKLE PUSHED OB AT IND 18 FOR 13 YARDS (25-R.THOMAS). 7-T.HILL IN AT QB FOR NO.,0,2023,13,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,31,OPP,0,,0,,0,634,0,0
2023102903,2023-10-29,1,3,50,NO,IND,1,10,82,1,0,"(3:50) (SHOTGUN) 4-D.CARR PASS SHORT MIDDLE TO 41-A.KAMARA FOR 18 YARDS, TOUCHDOWN.",0,2023,18,SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,670,0,0
2023102903,2023-10-29,1,3,44,IND,NO,0,0,65,1,0,"19-B.GRUPE KICKS 65 YARDS FROM NO 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,676,0,0
2023102903,2023-10-29,1,3,44,NO,IND,0,0,85,1,0,"19-B.GRUPE EXTRA POINT IS GOOD, CENTER-49-Z.WOOD, HOLDER-39-L.HEDLEY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,676,0,0
2023102903,2023-10-29,1,3,44,IND,NO,0,0,100,1,0,TIMEOUT AT 03:44.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,676,0,0
2023102903,2023-10-29,1,3,44,IND,NO,1,10,25,0,0,(3:44) (SHOTGUN) 10-G.MINSHEW PASS SHORT MIDDLE TO 11-M.PITTMAN TO IND 28 FOR 3 YARDS (29-P.ADEBO).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,676,0,0
2023102903,2023-10-29,1,3,2,IND,NO,2,7,28,1,0,(3:02) (SHOTGUN) 10-G.MINSHEW PASS SHORT MIDDLE TO 1-J.DOWNS TO IND 40 FOR 12 YARDS (20-P.WERNER).,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,718,0,0
2023102903,2023-10-29,1,2,25,IND,NO,1,10,40,0,0,"(2:25) 10-G.MINSHEW PASS INCOMPLETE DEEP LEFT TO 14-A.PIERCE. PENALTY ON NO-23-M.LATTIMORE, DEFENSIVE PASS INTERFERENCE, 28 YARDS, ENFORCED AT IND 40 - NO PLAY. PENALTY ON NO-23-M.LATTIMORE, DEFENSIVE HOLDING, DECLINED.",0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,1,0,0,,40,OWN,0,NO,1,DEFENSIVE PASS INTERFERENCE,0,755,0,0
2023102903,2023-10-29,1,2,18,IND,NO,1,10,68,0,0,"(2:18) (SHOTGUN) 28-J.TAYLOR LEFT END TO NO 29 FOR 3 YARDS (90-B.BRESEE, 56-D.DAVIS).",0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,32,OPP,0,,0,,0,762,0,0
2023102903,2023-10-29,1,1,33,IND,NO,2,7,71,0,0,(1:33) (SHOTGUN) 10-G.MINSHEW PASS SHORT RIGHT TO 1-J.DOWNS TO NO 24 FOR 5 YARDS (56-D.DAVIS).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,29,OPP,0,,0,,0,807,0,0
2023102903,2023-10-29,1,0,52,IND,NO,3,2,76,1,0,(:52) 28-J.TAYLOR LEFT END PUSHED OB AT NO 11 FOR 13 YARDS (31-J.HOWDEN).,0,2023,13,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,24,OPP,0,,0,,0,848,0,0
2023102903,2023-10-29,1,0,26,IND,NO,1,10,89,0,0,"(:26) (NO HUDDLE, SHOTGUN) 10-G.MINSHEW PASS SHORT LEFT TO 11-M.PITTMAN TO NO 2 FOR 9 YARDS (23-M.LATTIMORE).",0,2023,9,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,11,OPP,0,,0,,0,874,0,0
2023102903,2023-10-29,1,0,2,IND,NO,2,1,98,0,0,"(:02) (NO HUDDLE, SHOTGUN) 28-J.TAYLOR UP THE MIDDLE TO NO 2 FOR NO GAIN (97-M.ROACH, 31-J.HOWDEN).",0,2023,0,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,2,OPP,0,,0,,0,898,0,0
2023102903,2023-10-29,1,0,0,IND,NO,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
