GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,MIA,NE
2023102904,2023-10-29,1,8,48,NE,MIA,1,10,31,0,0,(8:48) 81-D.DOUGLAS RIGHT END TO NE 35 FOR 4 YARDS (15-J.PHILLIPS).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,31,OWN,0,,0,,0,372,0,0
2023102904,2023-10-29,1,8,6,NE,MIA,2,6,35,0,0,(8:06) 15-E.ELLIOTT RIGHT GUARD TO NE 38 FOR 3 YARDS (92-Z.SIELER).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,35,OWN,0,,0,,0,414,0,0
2023102904,2023-10-29,1,7,26,NE,MIA,3,3,38,0,0,(7:26) (SHOTGUN) 10-M.JONES PASS SHORT LEFT TO 38-R.STEVENSON TO NE 40 FOR 2 YARDS (29-B.JONES; 55-J.BAKER).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,454,0,0
2023102904,2023-10-29,1,6,45,NE,MIA,4,1,40,0,0,"(6:45) 17-B.BARINGER PUNTS 60 YARDS TO END ZONE, CENTER-49-J.CARDONA, TOUCHBACK.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,495,0,0
2023102904,2023-10-29,1,6,35,MIA,NE,0,0,100,1,0,TIMEOUT AT 06:35.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,505,0,0
2023102904,2023-10-29,1,6,35,MIA,NE,1,10,20,1,0,(6:35) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT MIDDLE TO 81-D.SMYTHE TO MIA 35 FOR 15 YARDS (30-M.MAPU).,0,2023,15,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,505,0,0
2023102904,2023-10-29,1,5,54,MIA,NE,1,10,35,0,0,"(5:54) (SHOTGUN) 31-R.MOSTERT LEFT END TO MIA 36 FOR 1 YARD (99-K.WHITE, 8-J.BENTLEY).",0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,35,OWN,0,,0,,0,546,0,0
2023102904,2023-10-29,1,5,14,MIA,NE,2,9,36,0,0,(5:14) (SHOTGUN) 1-T.TAGOVAILOA SACKED AT MIA 30 FOR -6 YARDS (90-C.BARMORE).,0,2023,-6,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,586,0,0
2023102904,2023-10-29,1,4,37,MIA,NE,3,15,30,1,0,(4:37) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT RIGHT INTENDED FOR 10-T.HILL INTERCEPTED BY 23-K.DUGGER AT MIA 45. 23-K.DUGGER PUSHED OB AT MIA 30 FOR 15 YARDS (10-T.HILL).,0,2023,15,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,1,0,0,0,0,,30,OWN,0,,0,,0,623,0,0
2023102904,2023-10-29,1,4,26,NE,MIA,1,10,70,0,0,(4:26) 10-M.JONES PASS INCOMPLETE DEEP LEFT [92-Z.SIELER].,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,30,OPP,0,,0,,0,634,0,0
