GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,DAL,LA
2023102901,2023-10-29,1,15,0,DAL,LA,1,10,25,0,0,(15:00) (SHOTGUN) 4-D.PRESCOTT SACKED AT DAL 20 FOR -5 YARDS (97-M.HOECHT).,0,2023,-5,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,8,0,0,0
2023102901,2023-10-29,1,15,0,DAL,LA,0,0,65,1,0,"42-E.EVANS KICKS 65 YARDS FROM LAR 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,8,0,0,0
2023102901,2023-10-29,1,14,29,DAL,LA,2,15,20,0,0,(14:29) (SHOTGUN) 20-T.POLLARD UP THE MIDDLE TO DAL 24 FOR 4 YARDS (0-B.YOUNG).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,20,OWN,0,,0,,0,8,31,0,0
2023102901,2023-10-29,1,13,46,DAL,LA,3,11,24,0,0,"(13:46) (SHOTGUN) 4-D.PRESCOTT SACKED AT DAL 20 FOR -4 YARDS (0-B.YOUNG). PENALTY ON LAR-37-Q.LAKE, ILLEGAL CONTACT, 6 YARDS, ENFORCED AT DAL 24 - NO PLAY.",0,2023,-4,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,1,0,0,,24,OWN,1,LAR,1,ILLEGAL CONTACT,6,8,74,0,0
2023102901,2023-10-29,1,13,23,DAL,LA,1,10,30,0,0,(13:23) 4-D.PRESCOTT SACKED AT DAL 23 FOR -7 YARDS (99-A.DONALD).,0,2023,-7,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,8,97,0,0
2023102901,2023-10-29,1,12,44,DAL,LA,2,17,23,1,0,(12:44) (SHOTGUN) 4-D.PRESCOTT PASS SHORT MIDDLE TO 88-C.LAMB TO DAL 40 FOR 17 YARDS (14-C.DURANT; 53-E.JONES).,0,2023,17,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,8,136,0,0
2023102901,2023-10-29,1,12,4,DAL,LA,1,10,40,0,0,"(12:04) (SHOTGUN) 4-D.PRESCOTT PASS SHORT RIGHT TO 88-C.LAMB TO DAL 45 FOR 5 YARDS (37-Q.LAKE, 4-J.FULLER).",0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,8,176,0,0
2023102901,2023-10-29,1,11,29,DAL,LA,2,5,45,1,0,(11:29) (SHOTGUN) 4-D.PRESCOTT PASS SHORT RIGHT TO 13-M.GALLUP RAN OB AT LAR 41 FOR 14 YARDS.,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,8,211,0,0
2023102901,2023-10-29,1,11,3,DAL,LA,1,10,59,0,0,(11:03) (NO HUDDLE) 4-D.PRESCOTT PASS SHORT RIGHT TO 88-C.LAMB RAN OB AT LAR 37 FOR 4 YARDS (44-A.WITHERSPOON).,0,2023,4,NO HUDDLE,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OPP,0,,0,,0,8,237,0,0
2023102901,2023-10-29,1,10,33,DAL,LA,2,6,63,0,0,(10:33) (SHOTGUN) 4-D.PRESCOTT PASS INCOMPLETE SHORT RIGHT TO 18-J.TOLBERT (44-A.WITHERSPOON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,8,267,0,0
2023102901,2023-10-29,1,10,30,DAL,LA,3,6,63,1,0,(10:30) (SHOTGUN) 4-D.PRESCOTT PASS SHORT LEFT TO 3-B.COOKS TO LAR 18 FOR 19 YARDS (1-D.KENDRICK).,0,2023,19,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,8,270,0,0
2023102901,2023-10-29,1,9,49,DAL,LA,1,10,82,1,0,"(9:49) (SHOTGUN) 4-D.PRESCOTT PASS DEEP MIDDLE TO 87-J.FERGUSON FOR 18 YARDS, TOUCHDOWN.",0,2023,18,SHOTGUN,PASS,0,1,0,1,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,8,311,0,0
2023102901,2023-10-29,1,9,44,DAL,LA,0,0,85,1,0,"17-B.AUBREY EXTRA POINT IS GOOD, CENTER-44-T.SIEG, HOLDER-5-B.ANGER.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,8,316,0,0
2023102901,2023-10-29,1,9,44,LA,DAL,1,10,75,0,0,(9:44) (SHOTGUN) 27-D.HENDERSON UP THE MIDDLE TO LAR 30 FOR 5 YARDS (33-D.CLARK; 1-J.KEARSE).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OPP,0,,0,,0,8,316,0,0
2023102901,2023-10-29,1,9,44,DAL,LA,0,0,100,1,0,TIMEOUT AT 09:44.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,8,316,0,0
2023102901,2023-10-29,1,9,44,LA,DAL,0,0,65,1,0,"17-B.AUBREY KICKS 65 YARDS FROM DAL 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,8,316,0,0
