GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,DET,LV
2023103000,2023-10-30,1,7,51,LV,DET,0,0,65,1,0,"3-J.FOX KICKS 65 YARDS FROM DET 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,429,0,0
2023103000,2023-10-30,1,7,51,LV,DET,1,10,25,1,0,(7:51) 10-J.GAROPPOLO PASS SHORT MIDDLE TO 8-J.JACOBS PUSHED OB AT LV 37 FOR 12 YARDS (99-J.OKWARA).,0,2023,12,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,429,0,0
2023103000,2023-10-30,1,7,20,LV,DET,1,10,37,0,0,(7:20) (SHOTGUN) 10-J.GAROPPOLO PASS INCOMPLETE SHORT LEFT TO 8-J.JACOBS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,460,0,0
2023103000,2023-10-30,1,7,14,LV,DET,2,10,37,0,0,(7:14) 8-J.JACOBS LEFT TACKLE TO LV 37 FOR NO GAIN (21-T.WALKER; 32-B.BRANCH).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,37,OWN,0,,0,,0,466,0,0
2023103000,2023-10-30,1,6,32,LV,DET,3,10,37,0,0,(6:32) (SHOTGUN) 10-J.GAROPPOLO SCRAMBLES LEFT END PUSHED OB AT LV 46 FOR 9 YARDS (34-A.ANZALONE).,0,2023,9,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,508,0,0
2023103000,2023-10-30,1,5,51,LV,DET,4,1,46,0,0,"(5:51) 6-A.COLE PUNTS 43 YARDS TO DET 11, CENTER-50-J.BOBENMOYER, FAIR CATCH BY 11-K.RAYMOND.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,549,0,0
2023103000,2023-10-30,1,5,44,DET,LV,0,0,100,1,0,TIMEOUT AT 05:44.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,556,0,0
2023103000,2023-10-30,1,5,44,DET,LV,1,10,11,0,0,(5:44) 26-J.GIBBS LEFT END TO DET 14 FOR 3 YARDS (51-M.KOONCE; 95-J.JENKINS).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,11,OWN,0,,0,,0,556,0,0
2023103000,2023-10-30,1,5,10,DET,LV,2,7,14,1,0,"(5:10) (SHOTGUN) 16-J.GOFF PASS SHORT RIGHT TO 8-J.REYNOLDS TO DET 27 FOR 13 YARDS (59-L.MASTERSON). FUMBLES (59-L.MASTERSON), TOUCHED AT DET 28, RECOVERED BY LV-41-R.SPILLANE AT DET 26.",0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,,14,OWN,0,,0,,0,590,0,0
2023103000,2023-10-30,1,4,59,LV,DET,1,10,74,1,0,(4:59) (SHOTGUN) 10-J.GAROPPOLO PASS DEEP RIGHT INTENDED FOR 17-D.ADAMS INTERCEPTED BY 31-K.JOSEPH AT DET -4. 31-K.JOSEPH TO DET 11 FOR 15 YARDS (13-H.RENFROW).,0,2023,15,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,1,0,0,0,0,,26,OPP,0,,0,,0,601,0,0
2023103000,2023-10-30,1,4,49,DET,LV,1,10,11,0,0,(4:49) 16-J.GOFF PASS SHORT LEFT TO 87-S.LAPORTA TO DET 11 FOR NO GAIN (21-A.ROBERTSON).,0,2023,0,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,11,OWN,0,,0,,0,611,0,0
2023103000,2023-10-30,1,4,49,DET,LV,0,0,100,1,0,TIMEOUT AT 04:49.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,611,0,0
2023103000,2023-10-30,1,4,14,DET,LV,2,10,11,0,0,(4:14) (SHOTGUN) 16-J.GOFF PASS INCOMPLETE SHORT MIDDLE TO 14-A.ST. BROWN (95-J.JENKINS) [51-M.KOONCE].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,11,OWN,0,,0,,0,646,0,0
2023103000,2023-10-30,1,4,10,DET,LV,3,10,11,0,0,(4:10) (SHOTGUN) 16-J.GOFF PASS INCOMPLETE DEEP LEFT. BALL THROWN AWAY.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,11,OWN,0,,0,,0,650,0,0
