GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,BUF,TB
2023102600,2023-10-26,1,10,25,BUF,TB,1,10,62,0,0,"(10:25) (NO HUDDLE, SHOTGUN) 17-J.ALLEN PASS SHORT RIGHT TO 13-G.DAVIS PUSHED OB AT TB 29 FOR 9 YARDS (7-S.BARRETT).",0,2023,9,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,275,0,0
2023102600,2023-10-26,1,9,58,BUF,TB,2,1,71,1,0,(9:58) (SHOTGUN) 28-L.MURRAY LEFT END TO TB 24 FOR 5 YARDS (45-D.WHITE).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,29,OPP,0,,0,,0,302,0,0
2023102600,2023-10-26,1,9,30,BUF,TB,1,10,76,0,0,"(9:30) (NO HUDDLE, SHOTGUN) 17-J.ALLEN PASS INCOMPLETE SHORT RIGHT. PRESSURE ON QB: S.BARRETT.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,24,OPP,0,,0,,0,330,0,0
2023102600,2023-10-26,1,9,23,BUF,TB,2,10,76,0,0,"(9:23) (NO HUDDLE, SHOTGUN) 17-J.ALLEN PASS SHORT RIGHT TO 10-K.SHAKIR TO TB 19 FOR 5 YARDS (45-D.WHITE).",0,2023,5,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,24,OPP,0,,0,,0,337,0,0
2023102600,2023-10-26,1,8,46,BUF,TB,3,5,81,0,0,(8:46) (SHOTGUN) 17-J.ALLEN PASS SHORT LEFT TO 14-S.DIGGS TO TB 19 FOR NO GAIN (29-C.IZIEN).,0,2023,0,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,19,OPP,0,,0,,0,374,0,0
2023102600,2023-10-26,1,8,8,BUF,TB,4,5,81,0,0,"(8:08) 2-T.BASS 37 YARD FIELD GOAL IS GOOD, CENTER-69-R.FERGUSON, HOLDER-8-S.MARTIN.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,19,OPP,0,,0,,0,412,0,0
2023102600,2023-10-26,1,8,4,BUF,TB,0,0,100,1,0,TIMEOUT AT 08:04.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,416,0,0
2023102600,2023-10-26,1,8,4,TB,BUF,0,0,65,1,0,2-T.BASS KICKS 63 YARDS FROM BUF 35 TO TB 2. 83-D.THOMPKINS TO TB 20 FOR 18 YARDS (29-J.NORMAN).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,416,0,0
2023102600,2023-10-26,1,7,58,TB,BUF,1,10,20,1,0,"(7:58) 14-C.GODWIN LEFT END PUSHED OB AT TB 34 FOR 14 YARDS (21-J.POYER). END-AROUND, HANDOFF FROM B.MAYFIELD.",0,2023,14,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,20,OWN,0,,0,,0,422,0,0
2023102600,2023-10-26,1,7,21,TB,BUF,1,10,34,0,0,(7:21) 1-R.WHITE LEFT GUARD TO TB 36 FOR 2 YARDS (7-TA.JOHNSON; 43-T.BERNARD).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,34,OWN,0,,0,,0,459,0,0
2023102600,2023-10-26,1,6,39,TB,BUF,2,8,36,0,0,(6:39) (SHOTGUN) 6-B.MAYFIELD PASS SHORT RIGHT TO 1-R.WHITE TO TB 39 FOR 3 YARDS (43-T.BERNARD).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,501,0,0
2023102600,2023-10-26,1,5,57,TB,BUF,3,5,39,0,0,"(5:57) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE DEEP MIDDLE TO 88-C.OTTON [56-L.FLOYD]. PENALTY ON BUF-20-T.RAPP, DEFENSIVE PASS INTERFERENCE, 21 YARDS, ENFORCED AT TB 39 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,1,0,0,,39,OWN,1,BUF,1,DEFENSIVE PASS INTERFERENCE,21,543,0,0
2023102600,2023-10-26,1,5,52,TB,BUF,1,10,60,0,0,"(5:52) 21-K.VAUGHN RIGHT END TO BUF 39 FOR 1 YARD (50-G.ROUSSEAU, 21-J.POYER).",0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,40,OPP,0,,0,,0,548,0,0
2023102600,2023-10-26,1,5,11,TB,BUF,2,9,61,0,0,"(5:11) (SHOTGUN) 6-B.MAYFIELD TO BUF 44 FOR -5 YARDS. FUMBLES, AND RECOVERS AT BUF 49. 6-B.MAYFIELD PASS INCOMPLETE SHORT RIGHT [23-M.HYDE].",0,2023,-5,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,,39,OPP,0,,0,,0,589,0,0
2023102600,2023-10-26,1,5,6,TB,BUF,0,0,100,1,0,TIMEOUT #1 BY TB AT 05:06.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,594,0,0
2023102600,2023-10-26,1,5,6,TB,BUF,3,9,61,0,0,(5:06) (SHOTGUN) 6-B.MAYFIELD PASS SHORT RIGHT TO 13-M.EVANS TO BUF 32 FOR 7 YARDS (47-C.BENFORD).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,594,0,0
