GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,PIT,JAX
2023102906,2023-10-29,1,15,0,PIT,JAX,0,0,65,1,0,"10-B.MCMANUS KICKS 58 YARDS FROM JAX 35 TO PIT 7, FAIR CATCH BY 48-G.IGWEBUIKE.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,8,0,0,0
2023102906,2023-10-29,1,15,0,PIT,JAX,1,10,25,0,0,(15:00) (SHOTGUN) 8-K.PICKETT PASS INCOMPLETE DEEP MIDDLE TO 18-D.JOHNSON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,8,0,0,0
2023102906,2023-10-29,1,14,56,PIT,JAX,2,10,25,0,0,(14:56) (SHOTGUN) 8-K.PICKETT SACKED AT PIT 20 FOR -5 YARDS (44-T.WALKER).,0,2023,-5,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,8,4,0,0
2023102906,2023-10-29,1,14,18,PIT,JAX,3,15,20,0,0,"(14:18) (SHOTGUN) 8-K.PICKETT PASS INCOMPLETE DEEP RIGHT TO 18-D.JOHNSON (31-DARI.WILLIAMS). PENALTY ON PIT-76-C.OKORAFOR, OFFENSIVE HOLDING, DECLINED.",0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,1,0,0,,20,OWN,0,PIT,0,OFFENSIVE HOLDING,0,8,42,0,0
2023102906,2023-10-29,1,14,10,PIT,JAX,4,15,20,0,0,"(14:10) 6-P.HARVIN PUNTS 33 YARDS TO JAX 47, CENTER-46-C.KUNTZ, OUT OF BOUNDS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,8,50,0,0
2023102906,2023-10-29,1,14,3,JAX,PIT,1,10,47,0,0,(14:03) (SHOTGUN) 16-T.LAWRENCE PASS INCOMPLETE SHORT RIGHT TO 0-C.RIDLEY.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,8,57,0,0
2023102906,2023-10-29,1,14,0,JAX,PIT,2,10,47,0,0,(14:00) (SHOTGUN) 1-T.ETIENNE RIGHT GUARD TO 50 FOR 3 YARDS (99-L.OGUNJOBI).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,47,OWN,0,,0,,0,8,60,0,0
2023102906,2023-10-29,1,13,21,JAX,PIT,3,7,100,0,0,"(13:21) (SHOTGUN) 16-T.LAWRENCE PASS INCOMPLETE DEEP LEFT TO 0-C.RIDLEY (42-J.PIERRE). PENALTY ON PIT-42-J.PIERRE, DEFENSIVE PASS INTERFERENCE, 17 YARDS, ENFORCED AT 50 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,1,0,0,,0,OPP,1,PIT,1,DEFENSIVE PASS INTERFERENCE,17,8,99,0,0
2023102906,2023-10-29,1,13,15,JAX,PIT,1,10,67,0,0,(13:15) 1-T.ETIENNE RIGHT END TO PIT 26 FOR 7 YARDS (39-M.FITZPATRICK).,0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,33,OPP,0,,0,,0,8,105,0,0
2023102906,2023-10-29,1,12,36,JAX,PIT,2,3,74,0,0,(12:36) (SHOTGUN) 1-T.ETIENNE LEFT GUARD TO PIT 29 FOR -3 YARDS (57-M.ADAMS).,0,2023,-3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,26,OPP,0,,0,,0,8,144,0,0
2023102906,2023-10-29,1,11,57,JAX,PIT,3,6,71,0,0,"(11:57) (SHOTGUN) 16-T.LAWRENCE PASS SHORT RIGHT TO 17-E.ENGRAM TO PIT 25 FOR 4 YARDS (42-J.PIERRE). PENALTY ON JAX-17-E.ENGRAM, FACE MASK, 15 YARDS, ENFORCED AT PIT 29 - NO PLAY.",0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,29,OPP,1,JAX,1,FACE MASK,15,8,183,0,0
2023102906,2023-10-29,1,11,28,JAX,PIT,3,21,56,0,0,"(11:28) (SHOTGUN) 16-T.LAWRENCE PASS SHORT MIDDLE TO 17-E.ENGRAM TO PIT 32 FOR 12 YARDS (39-M.FITZPATRICK, 55-C.HOLCOMB).",0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,44,OPP,0,,0,,0,8,212,0,0
2023102906,2023-10-29,1,10,51,JAX,PIT,4,9,68,0,0,"(10:51) 10-B.MCMANUS 50 YARD FIELD GOAL IS GOOD, CENTER-46-R.MATISCIK, HOLDER-9-L.COOKE.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,32,OPP,0,,0,,0,8,249,0,0
2023102906,2023-10-29,1,10,47,PIT,JAX,0,0,65,1,0,"10-B.MCMANUS KICKS 65 YARDS FROM JAX 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,8,253,0,0
2023102906,2023-10-29,1,10,47,PIT,JAX,0,0,100,1,0,TIMEOUT AT 10:47.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,8,253,0,0
