GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,LAC,KC,Week
2024010709,2024-01-07,1,6,55,LAC,KC,3,3,83,1,0,(6:55) (SHOTGUN) 2-E.STICK PASS SHORT MIDDLE TO 5-J.PALMER TO KC 9 FOR 8 YARDS (31-N.JONES) [95-C.JONES].,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,17,OPP,0,,0,,0,485,0,0,18
2024010709,2024-01-07,1,6,22,LAC,KC,1,9,91,0,0,(6:22) 2-E.STICK SCRAMBLES RIGHT END PUSHED OB AT KC 4 FOR 5 YARDS (44-CA.JONES).,0,2023,5,UNDER CENTER,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,9,OPP,0,,0,,0,518,0,0,18
2024010709,2024-01-07,1,5,44,LAC,KC,2,4,96,0,0,(5:44) (SHOTGUN) 2-E.STICK RIGHT TACKLE TO KC 5 FOR -1 YARDS (97-F.ANUDIKE-UZOMAH).,0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,4,OPP,0,,0,,0,556,0,0,18
2024010709,2024-01-07,1,5,14,LAC,KC,3,5,95,0,0,"(5:14) (SHOTGUN) 2-E.STICK SACKED AT KC 8 FOR -3 YARDS (90-C.OMENIHU). FUMBLES (90-C.OMENIHU) [90-C.OMENIHU], TOUCHED AT KC 7, RECOVERED BY KC-21-M.EDWARDS AT KC 3. 21-M.EDWARDS FOR 97 YARDS, TOUCHDOWN.",0,2023,-3,SHOTGUN,SACK,0,0,0,1,,1,0,0,,0,1,0,0,0,,5,OPP,0,,0,,0,586,0,0,18
2024010709,2024-01-07,1,4,56,LAC,KC,0,0,100,1,0,TIMEOUT AT 04:56.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,604,0,0,18
2024010709,2024-01-07,1,4,56,LAC,KC,0,0,65,1,0,7-H.BUTKER KICKS 64 YARDS FROM KC 35 TO LAC 1. 12-D.DAVIS TO LAC 24 FOR 23 YARDS (53-B.THOMPSON).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,604,0,0,18
2024010709,2024-01-07,1,4,56,LAC,KC,0,0,15,1,0,"7-H.BUTKER EXTRA POINT IS GOOD, CENTER-41-J.WINCHESTER, HOLDER-5-T.TOWNSEND.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OWN,0,,0,,0,604,0,0,18
2024010709,2024-01-07,1,4,49,LAC,KC,1,10,24,1,0,(4:49) (SHOTGUN) 2-E.STICK SCRAMBLES UP THE MIDDLE TO LAC 39 FOR 15 YARDS (26-D.BUSH).,0,2023,15,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,611,0,0,18
2024010709,2024-01-07,1,4,12,LAC,KC,1,10,39,0,0,(4:12) (SHOTGUN) 2-E.STICK LEFT GUARD TO LAC 38 FOR -1 YARDS (92-N.FARRELL).,0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,39,OWN,0,,0,,0,648,0,0,18
2024010709,2024-01-07,1,3,37,LAC,KC,2,11,38,0,0,(3:37) (SHOTGUN) 2-E.STICK PASS SHORT RIGHT TO 5-J.PALMER TO LAC 46 FOR 8 YARDS (35-JA.WATSON).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,683,0,0,18
2024010709,2024-01-07,1,3,13,LAC,KC,3,3,46,0,0,"(3:13) (NO HUDDLE, SHOTGUN) 2-E.STICK PASS INCOMPLETE DEEP LEFT TO 1-Q.JOHNSTON.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,707,0,0,18
2024010709,2024-01-07,1,3,9,LAC,KC,4,3,46,0,0,"(3:09) 16-J.SCOTT PUNTS 43 YARDS TO KC 11, CENTER-47-J.HARRIS. 17-R.JAMES TO KC 32 FOR 21 YARDS (20-D.MARLOWE).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,711,0,0,18
2024010709,2024-01-07,1,2,57,LAC,KC,0,0,100,1,0,TIMEOUT AT 02:57.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,723,0,0,18
2024010709,2024-01-07,1,0,24,LAC,KC,0,0,100,1,0,TIMEOUT AT 00:24.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,876,0,0,18
2024010709,2024-01-07,1,0,24,LAC,KC,1,10,20,0,0,(:24) (SHOTGUN) 5-J.PALMER LEFT END TO LAC 26 FOR 6 YARDS (44-CA.JONES).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,20,OWN,0,,0,,0,876,0,0,18
2024010709,2024-01-07,1,0,0,LAC,KC,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0,18
2024010709,2024-01-07,2,15,0,LAC,KC,2,4,26,0,0,"(15:00) 30-A.EKELER UP THE MIDDLE TO LAC 26 FOR NO GAIN (44-CA.JONES, 26-D.BUSH).",0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,26,OWN,0,,0,,0,900,0,0,18
2024010709,2024-01-07,2,14,24,LAC,KC,3,4,26,0,0,(14:24) (SHOTGUN) 2-E.STICK PASS INCOMPLETE DEEP RIGHT [95-C.JONES].,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,936,0,0,18
2024010709,2024-01-07,2,14,16,LAC,KC,4,4,26,0,0,"(14:16) 16-J.SCOTT PUNTS 46 YARDS TO KC 28, CENTER-47-J.HARRIS, FAIR CATCH BY 17-R.JAMES.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,944,0,0,18
2024010709,2024-01-07,2,14,8,LAC,KC,0,0,100,1,0,TIMEOUT AT 14:08.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,952,0,0,18
2024010709,2024-01-07,2,10,31,LAC,KC,1,10,20,0,0,(10:31) (SHOTGUN) 2-E.STICK PASS INCOMPLETE SHORT LEFT TO 5-J.PALMER.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,1169,0,0,18
2024010709,2024-01-07,2,10,31,LAC,KC,0,0,100,1,0,TIMEOUT AT 10:31.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1169,0,0,18
2024010709,2024-01-07,2,10,28,LAC,KC,2,10,20,0,0,(10:28) (SHOTGUN) 2-E.STICK PASS SHORT LEFT TO 30-A.EKELER TO LAC 21 FOR 1 YARD (44-CA.JONES).,0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,1172,0,0,18
2024010709,2024-01-07,2,9,49,LAC,KC,3,9,21,0,0,(9:49) (SHOTGUN) 2-E.STICK PASS INCOMPLETE SHORT MIDDLE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,1211,0,0,18
2024010709,2024-01-07,2,9,45,LAC,KC,4,9,21,0,0,"(9:45) 16-J.SCOTT PUNTS 49 YARDS TO KC 30, CENTER-47-J.HARRIS, FAIR CATCH BY 17-R.JAMES.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,1215,0,0,18
2024010709,2024-01-07,2,9,38,LAC,KC,0,0,100,1,0,TIMEOUT AT 09:38.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1222,0,0,18
2024010709,2024-01-07,2,4,3,LAC,KC,1,10,25,0,0,(4:03) (SHOTGUN) 2-E.STICK PASS SHORT RIGHT TO 5-J.PALMER TO LAC 28 FOR 3 YARDS (27-C.CONNER).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,1557,0,0,18
2024010709,2024-01-07,2,4,3,LAC,KC,0,0,65,1,0,"7-H.BUTKER KICKS 65 YARDS FROM KC 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1557,0,0,18
2024010709,2024-01-07,2,4,3,LAC,KC,0,0,100,1,0,TIMEOUT AT 04:03.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1557,0,0,18
2024010709,2024-01-07,2,3,40,LAC,KC,2,7,28,0,0,"(3:40) (NO HUDDLE, SHOTGUN) 2-E.STICK PASS INCOMPLETE DEEP RIGHT TO 1-Q.JOHNSTON. PENALTY ON KC-35-JA.WATSON, DEFENSIVE PASS INTERFERENCE, 33 YARDS, ENFORCED AT LAC 28 - NO PLAY.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,1,0,0,,28,OWN,1,KC,1,DEFENSIVE PASS INTERFERENCE,33,1580,0,0,18
2024010709,2024-01-07,2,3,35,LAC,KC,1,10,61,0,0,(3:35) (SHOTGUN) 2-E.STICK PASS INCOMPLETE SHORT RIGHT TO 89-D.PARHAM.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,1585,0,0,18
2024010709,2024-01-07,2,3,31,LAC,KC,2,10,61,0,0,(3:31) (SHOTGUN) 2-E.STICK PASS INCOMPLETE DEEP RIGHT TO 84-S.SMARTT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,1589,0,0,18
2024010709,2024-01-07,2,3,26,LAC,KC,3,10,61,0,0,"(3:26) (NO HUDDLE, SHOTGUN) 2-E.STICK PASS SHORT LEFT TO 84-S.SMARTT PUSHED OB AT KC 31 FOR 8 YARDS (44-CA.JONES).",0,2023,8,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,1594,0,0,18
2024010709,2024-01-07,2,2,48,LAC,KC,4,2,69,0,0,"(2:48) 11-C.DICKER 49 YARD FIELD GOAL IS GOOD, CENTER-47-J.HARRIS, HOLDER-16-J.SCOTT.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,31,OPP,0,,0,,0,1632,0,0,18
2024010709,2024-01-07,2,2,43,LAC,KC,0,0,100,1,0,TIMEOUT AT 02:43.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1637,0,0,18
2024010709,2024-01-07,2,1,24,LAC,KC,1,10,12,1,0,(1:24) (SHOTGUN) 2-E.STICK PASS SHORT RIGHT TO 5-J.PALMER TO LAC 24 FOR 12 YARDS (35-JA.WATSON) [95-C.JONES].,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,12,OWN,0,,0,,0,1716,0,0,18
2024010709,2024-01-07,2,1,18,LAC,KC,1,10,24,0,0,(1:18) (SHOTGUN) 2-E.STICK PASS INCOMPLETE SHORT RIGHT TO 82-A.ERICKSON (35-JA.WATSON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,1722,0,0,18
2024010709,2024-01-07,2,1,14,LAC,KC,2,10,24,0,0,(1:14) (SHOTGUN) 2-E.STICK PASS SHORT LEFT TO 30-A.EKELER TO LAC 29 FOR 5 YARDS (43-J.COCHRANE).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,1726,0,0,18
