GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,CIN,KC
2023123113,2023-12-31,1,6,26,CIN,KC,4,6,84,0,0,"(6:26) 2-E.MCPHERSON 34 YARD FIELD GOAL IS GOOD, CENTER-48-C.ADOMITIS, HOLDER-10-B.ROBBINS.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,16,OPP,0,,0,,0,17,514,0,0
2023123113,2023-12-31,1,6,21,KC,CIN,0,0,100,1,0,TIMEOUT AT 06:21.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17,519,0,0
2023123113,2023-12-31,1,6,21,KC,CIN,0,0,65,1,0,"2-E.MCPHERSON KICKS 65 YARDS FROM CIN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,17,519,0,0
2023123113,2023-12-31,1,6,21,KC,CIN,1,10,25,0,0,(6:21) (SHOTGUN) 10-I.PACHECO UP THE MIDDLE TO KC 34 FOR 9 YARDS (23-D.HILL; 94-S.HUBBARD).,0,2023,9,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OWN,0,,0,,0,17,519,0,0
2023123113,2023-12-31,1,5,48,KC,CIN,2,1,34,1,0,(5:48) (SHOTGUN) 15-P.MAHOMES PASS SHORT RIGHT TO 83-N.GRAY TO KC 37 FOR 3 YARDS (59-A.DAVIS-GAITHER).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,17,552,0,0
2023123113,2023-12-31,1,5,16,KC,CIN,1,10,37,1,0,(5:16) 15-P.MAHOMES PASS SHORT LEFT TO 4-R.RICE RAN OB AT CIN 45 FOR 18 YARDS (22-C.AWUZIE).,0,2023,18,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,17,584,0,0
2023123113,2023-12-31,1,4,41,KC,CIN,1,10,55,1,0,(4:41) 10-I.PACHECO LEFT END PUSHED OB AT CIN 10 FOR 35 YARDS (27-J.BATTLE).,0,2023,35,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,45,OPP,0,,0,,0,17,619,0,0
2023123113,2023-12-31,1,4,14,KC,CIN,1,10,90,0,0,(4:14) (SHOTGUN) 15-P.MAHOMES SACKED OB AT CIN 10 FOR 0 YARDS (21-M.HILTON).,0,2023,0,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,10,OPP,0,,0,,0,17,646,0,0
2023123113,2023-12-31,1,3,44,KC,CIN,2,10,90,0,0,(3:44) 10-I.PACHECO LEFT END TO CIN 8 FOR 2 YARDS (27-J.BATTLE; 22-C.AWUZIE).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,10,OPP,0,,0,,0,17,676,0,0
2023123113,2023-12-31,1,3,2,KC,CIN,3,8,92,1,0,"(3:02) (SHOTGUN) 15-P.MAHOMES PASS SHORT MIDDLE TO 10-I.PACHECO FOR 8 YARDS, TOUCHDOWN.",0,2023,8,SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,8,OPP,0,,0,,0,17,718,0,0
2023123113,2023-12-31,1,2,58,KC,CIN,0,0,85,1,0,"7-H.BUTKER EXTRA POINT IS GOOD, CENTER-41-J.WINCHESTER, HOLDER-5-T.TOWNSEND.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,17,722,0,0
2023123113,2023-12-31,1,2,58,KC,CIN,0,0,100,1,0,TIMEOUT AT 02:58.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17,722,0,0
2023123113,2023-12-31,1,2,58,CIN,KC,0,0,65,1,0,"7-H.BUTKER KICKS 65 YARDS FROM KC 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,17,722,0,0
