GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,LA,NYG
2023123107,2023-12-31,1,15,0,LA,NYG,0,0,65,1,0,"21-M.CROSBY KICKS 57 YARDS FROM NYG 35 TO LAR 8, FAIR CATCH BY 81-A.TRAMMELL.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,17,0,0,0
2023123107,2023-12-31,1,15,0,LA,NYG,1,10,75,1,0,(15:00) (SHOTGUN) 9-M.STAFFORD PASS SHORT RIGHT TO 89-T.HIGBEE PUSHED OB AT LAR 39 FOR 14 YARDS (22-A.JACKSON).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,17,0,0,0
2023123107,2023-12-31,1,14,23,LA,NYG,1,10,61,0,0,(14:23) (SHOTGUN) 9-M.STAFFORD PASS SHORT LEFT TO 15-D.ROBINSON TO LAR 46 FOR 7 YARDS (44-N.MCCLOUD; 19-I.SIMMONS).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,17,37,0,0
2023123107,2023-12-31,1,13,39,LA,NYG,2,3,54,1,0,(13:39) (SHOTGUN) 9-M.STAFFORD PASS SHORT RIGHT TO 17-P.NACUA RAN OB AT 50 FOR 4 YARDS (22-A.JACKSON).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,17,81,0,0
2023123107,2023-12-31,1,13,0,LA,NYG,1,10,100,0,0,(13:00) (SHOTGUN) 9-M.STAFFORD PASS SHORT MIDDLE TO 17-P.NACUA TO NYG 44 FOR 6 YARDS (19-I.SIMMONS).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17,120,0,0
2023123107,2023-12-31,1,12,17,LA,NYG,2,4,56,1,0,(12:17) 23-K.WILLIAMS RIGHT GUARD TO NYG 40 FOR 4 YARDS (95-J.RILEY; 58-B.OKEREKE).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,44,OPP,0,,0,,0,17,163,0,0
2023123107,2023-12-31,1,11,36,LA,NYG,1,10,60,0,0,(11:36) 23-K.WILLIAMS LEFT GUARD TO NYG 36 FOR 4 YARDS (95-J.RILEY; 91-AS.ROBINSON).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,40,OPP,0,,0,,0,17,204,0,0
2023123107,2023-12-31,1,10,55,LA,NYG,2,6,64,1,0,(10:55) (SHOTGUN) 9-M.STAFFORD PASS SHORT LEFT TO 10-C.KUPP PUSHED OB AT NYG 28 FOR 8 YARDS (44-N.MCCLOUD).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,36,OPP,0,,0,,0,17,245,0,0
2023123107,2023-12-31,1,10,16,LA,NYG,1,10,72,0,0,(10:16) 23-K.WILLIAMS RIGHT END TO NYG 29 FOR -1 YARDS (97-D.LAWRENCE).,0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,28,OPP,0,,0,,0,17,284,0,0
2023123107,2023-12-31,1,9,31,LA,NYG,2,11,71,1,0,"(9:31) (SHOTGUN) 9-M.STAFFORD PASS SHORT MIDDLE TO 15-D.ROBINSON TO NYG 16 FOR 13 YARDS (27-J.PINNOCK). NEW YORK GIANTS CHALLENGED THE PASS COMPLETION RULING, AND THE PLAY WAS REVERSED. (SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT MIDDLE TO 15-D.ROBINSON.",0,2023,13,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,1,1,,0,0,0,0,0,,29,OPP,0,,0,,0,17,329,0,0
2023123107,2023-12-31,1,9,27,LA,NYG,3,11,71,0,0,(9:27) (SHOTGUN) 9-M.STAFFORD PASS SHORT LEFT TO 10-C.KUPP TO NYG 21 FOR 8 YARDS (44-N.MCCLOUD).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,29,OPP,0,,0,,0,17,333,0,0
2023123107,2023-12-31,1,8,43,LA,NYG,4,3,79,1,0,"(8:43) (SHOTGUN) 9-M.STAFFORD PASS SHORT RIGHT TO 17-P.NACUA TO NYG 17 FOR 4 YARDS (22-A.JACKSON). NEW YORK GIANTS CHALLENGED THE PASS COMPLETION RULING, AND THE PLAY WAS REVERSED. (SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT RIGHT TO 17-P.NACUA.",0,2023,4,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,1,1,,0,0,0,0,0,,21,OPP,0,,0,,0,17,377,0,0
