GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CHI,ATL
2023123103,2023-12-31,1,9,29,CHI,ATL,2,6,94,0,0,(9:29) (SHOTGUN) 1-J.FIELDS PASS SHORT RIGHT TO 13-T.SCOTT RAN OB AT ATL 7 FOR -1 YARDS.,0,2023,-1,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,6,OPP,0,,0,,0,331,0,0
2023123103,2023-12-31,1,8,52,CHI,ATL,3,7,93,1,0,"(8:52) (SHOTGUN) 1-J.FIELDS PASS SHORT LEFT TO 2-D.MOORE FOR 7 YARDS, TOUCHDOWN [93-C.CAMPBELL].",0,2023,7,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,,7,OPP,0,,0,,0,368,0,0
2023123103,2023-12-31,1,8,47,CHI,ATL,0,0,85,1,0,"8-C.SANTOS EXTRA POINT IS GOOD, CENTER-48-P.SCALES, HOLDER-16-T.GILL.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,373,0,0
2023123103,2023-12-31,1,8,47,CHI,ATL,0,0,100,1,0,TIMEOUT AT 08:47.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,373,0,0
2023123103,2023-12-31,1,8,47,ATL,CHI,0,0,65,1,0,"16-T.GILL KICKS 65 YARDS FROM CHI 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,373,0,0
2023123103,2023-12-31,1,8,47,ATL,CHI,1,10,25,0,0,(8:47) (SHOTGUN) 7-B.ROBINSON LEFT END TO ATL 25 FOR NO GAIN (95-D.WALKER).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,25,OWN,0,,0,,0,373,0,0
2023123103,2023-12-31,1,8,7,ATL,CHI,2,10,25,0,0,"(8:07) (NO HUDDLE, SHOTGUN) 4-T.HEINICKE SCRAMBLES RIGHT END TO ATL 30 FOR 5 YARDS (99-G.DEXTER).",0,2023,5,NO HUDDLE SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,413,0,0
2023123103,2023-12-31,1,7,28,ATL,CHI,3,5,30,1,0,"(7:28) (NO HUDDLE, SHOTGUN) 4-T.HEINICKE SCRAMBLES RIGHT END RAN OB AT ATL 40 FOR 10 YARDS (9-J.BRISKER).",0,2023,10,NO HUDDLE SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,452,0,0
2023123103,2023-12-31,1,6,48,ATL,CHI,1,10,40,0,0,(6:48) (SHOTGUN) 7-B.ROBINSON RIGHT TACKLE TO ATL 45 FOR 5 YARDS (29-T.STEVENSON; 49-T.EDMUNDS). CHI-29-T.STEVENSON WAS INJURED DURING THE PLAY.,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,40,OWN,0,,0,,0,492,0,0
2023123103,2023-12-31,1,6,33,ATL,CHI,0,0,100,1,0,TIMEOUT AT 06:33.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,507,0,0
2023123103,2023-12-31,1,6,20,ATL,CHI,2,5,45,1,0,(6:20) (SHOTGUN) 4-T.HEINICKE SCRAMBLES RIGHT GUARD TO CHI 48 FOR 7 YARDS (9-J.BRISKER).,0,2023,7,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,520,0,0
2023123103,2023-12-31,1,5,38,ATL,CHI,1,10,52,1,0,(5:38) (SHOTGUN) 4-T.HEINICKE PASS DEEP MIDDLE TO 5-D.LONDON TO CHI 28 FOR 20 YARDS (4-E.JACKSON).,0,2023,20,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,562,0,0
2023123103,2023-12-31,1,4,50,ATL,CHI,1,10,72,0,0,(4:50) (SHOTGUN) 25-T.ALLGEIER LEFT GUARD TO CHI 23 FOR 5 YARDS (32-T.SMITH).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,28,OPP,0,,0,,0,610,0,0
