GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,MIA,BAL
2023123101,2023-12-31,1,9,31,BAL,MIA,3,16,19,1,0,(9:31) (SHOTGUN) 8-L.JACKSON PASS SHORT RIGHT TO 43-J.HILL TO BAL 37 FOR 18 YARDS (21-D.ELLIOTT).,0,2023,18,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,19,OWN,0,,0,,0,17,329,0,0
2023123101,2023-12-31,1,8,51,BAL,MIA,1,10,37,1,0,(8:51) (SHOTGUN) 8-L.JACKSON PASS DEEP RIGHT TO 4-Z.FLOWERS PUSHED OB AT MIA 38 FOR 25 YARDS (21-D.ELLIOTT).,0,2023,25,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,17,369,0,0
2023123101,2023-12-31,1,8,11,BAL,MIA,1,10,62,0,0,"(8:11) 35-G.EDWARDS RIGHT END TO MIA 34 FOR 4 YARDS (51-D.LONG, 21-D.ELLIOTT).",0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,38,OPP,0,,0,,0,17,409,0,0
2023123101,2023-12-31,1,7,29,BAL,MIA,2,6,66,1,0,(7:29) (SHOTGUN) 8-L.JACKSON PASS SHORT LEFT TO 7-R.BATEMAN TO MIA 20 FOR 14 YARDS (45-D.RILEY).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,34,OPP,0,,0,,0,17,451,0,0
2023123101,2023-12-31,1,6,44,BAL,MIA,1,10,80,1,0,"(6:44) (SHOTGUN) 8-L.JACKSON PASS DEEP RIGHT TO 43-J.HILL FOR 20 YARDS, TOUCHDOWN.",0,2023,20,SHOTGUN,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,0,0,0,0,,20,OPP,0,,0,,0,17,496,0,0
2023123101,2023-12-31,1,6,39,BAL,MIA,0,0,85,1,0,"9-J.TUCKER EXTRA POINT IS GOOD, CENTER-69-T.OTT, HOLDER-11-J.STOUT.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,17,501,0,0
2023123101,2023-12-31,1,6,39,BAL,MIA,0,0,100,1,0,TIMEOUT AT 06:39.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17,501,0,0
2023123101,2023-12-31,1,6,39,MIA,BAL,0,0,65,1,0,9-J.TUCKER KICKS 57 YARDS FROM BAL 35 TO MIA 8. 0-B.BERRIOS TO MIA 27 FOR 19 YARDS (16-T.WALLACE).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,17,501,0,0
2023123101,2023-12-31,1,6,34,MIA,BAL,1,10,27,1,0,(6:34) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT MIDDLE TO 10-T.HILL TO MIA 43 FOR 16 YARDS (26-G.STONE).,0,2023,16,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,17,506,0,0
2023123101,2023-12-31,1,5,56,MIA,BAL,1,10,43,1,0,(5:56) 28-D.ACHANE LEFT END PUSHED OB AT BAL 12 FOR 45 YARDS (32-M.WILLIAMS).,0,2023,45,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,43,OWN,0,,0,,0,17,544,0,0
2023123101,2023-12-31,1,5,12,MIA,BAL,1,10,88,0,0,"(5:12) 28-D.ACHANE LEFT END TO BAL 15 FOR -3 YARDS (6-P.QUEEN, 0-R.SMITH).",0,2023,-3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,12,OPP,0,,0,,0,17,588,0,0
