GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,DEN,LAC
2023123112,2023-12-31,1,11,21,LAC,DEN,1,10,15,0,0,(11:21) (SHOTGUN) 2-E.STICK SACKED AT LAC 10 FOR -5 YARDS (0-J.COOPER).,0,2023,-5,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,15,OWN,0,,0,,0,219,0,0
2023123112,2023-12-31,1,10,39,LAC,DEN,2,15,10,0,0,(10:39) (SHOTGUN) 2-E.STICK PASS INCOMPLETE SHORT MIDDLE TO 1-Q.JOHNSTON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,10,OWN,0,,0,,0,261,0,0
2023123112,2023-12-31,1,10,36,LAC,DEN,3,15,10,0,0,(10:36) (SHOTGUN) 2-E.STICK LEFT GUARD TO LAC 19 FOR 9 YARDS (6-P.LOCKE).,0,2023,9,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,10,OWN,0,,0,,0,264,0,0
2023123112,2023-12-31,1,9,57,LAC,DEN,4,6,19,0,0,"(9:57) 16-J.SCOTT PUNTS 61 YARDS TO DEN 20, CENTER-47-J.HARRIS. 1-TR.SMITH TO DEN 34 FOR 14 YARDS (31-N.NIEMANN; 0-D.HENLEY).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,19,OWN,0,,0,,0,303,0,0
2023123112,2023-12-31,1,9,44,LAC,DEN,0,0,100,1,0,TIMEOUT AT 09:44.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,316,0,0
2023123112,2023-12-31,1,9,44,DEN,LAC,1,10,34,0,0,(9:44) 33-J.WILLIAMS LEFT TACKLE TO DEN 36 FOR 2 YARDS (43-M.DAVIS).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,34,OWN,0,,0,,0,316,0,0
2023123112,2023-12-31,1,9,10,DEN,LAC,2,8,36,1,0,(9:10) (SHOTGUN) 4-J.STIDHAM PASS SHORT RIGHT TO 38-J.MCLAUGHLIN TO DEN 46 FOR 10 YARDS (32-A.GILMAN; 6-E.KENDRICKS).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,350,0,0
2023123112,2023-12-31,1,8,31,DEN,LAC,1,10,46,0,0,(8:31) 33-J.WILLIAMS RIGHT TACKLE TO DEN 48 FOR 2 YARDS (3-D.JAMES).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,46,OWN,0,,0,,0,389,0,0
2023123112,2023-12-31,1,7,50,DEN,LAC,2,8,48,0,0,(7:50) (SHOTGUN) 4-J.STIDHAM PASS SHORT RIGHT TO 89-B.JOHNSON TO LAC 46 FOR 6 YARDS (43-M.DAVIS).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,48,OWN,0,,0,,0,430,0,0
2023123112,2023-12-31,1,7,9,DEN,LAC,3,2,54,1,0,(7:09) (SHOTGUN) 25-S.PERINE UP THE MIDDLE TO LAC 41 FOR 5 YARDS (91-C.HINTON; 6-E.KENDRICKS).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,46,OPP,0,,0,,0,471,0,0
2023123112,2023-12-31,1,6,30,DEN,LAC,1,10,59,0,0,(6:30) 38-J.MCLAUGHLIN RIGHT END TO LAC 32 FOR 9 YARDS (3-D.JAMES).,0,2023,9,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,41,OPP,0,,0,,0,510,0,0
2023123112,2023-12-31,1,5,48,DEN,LAC,2,1,68,1,0,(5:48) 33-J.WILLIAMS RIGHT TACKLE TO LAC 16 FOR 16 YARDS (58-J.HOLLINS; 31-N.NIEMANN).,0,2023,16,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,32,OPP,0,,0,,0,552,0,0
2023123112,2023-12-31,1,4,58,DEN,LAC,1,10,84,0,0,(4:58) 33-J.WILLIAMS RIGHT END TO LAC 15 FOR 1 YARD (92-A.FARMER). DEN-69-M.MCGLINCHEY WAS INJURED DURING THE PLAY.,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,16,OPP,0,,0,,0,602,0,0
2023123112,2023-12-31,1,4,47,DEN,LAC,0,0,100,1,0,TIMEOUT AT 04:47.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,613,0,0
2023123112,2023-12-31,1,4,34,DEN,LAC,2,9,85,0,0,(4:34) 4-J.STIDHAM PASS INCOMPLETE SHORT RIGHT TO 82-A.TRAUTMAN.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,626,0,0
2023123112,2023-12-31,1,4,31,DEN,LAC,3,9,85,0,0,"(4:31) (NO HUDDLE, SHOTGUN) 4-J.STIDHAM PASS SHORT RIGHT TO 10-J.JEUDY PUSHED OB AT LAC 8 FOR 7 YARDS (43-M.DAVIS).",0,2023,7,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,629,0,0
