GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,NE,BUF
2023123102,2023-12-31,1,11,17,NE,BUF,2,9,23,0,0,(11:17) 15-E.ELLIOTT UP THE MIDDLE TO NE 27 FOR 4 YARDS (43-T.BERNARD).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,23,OWN,0,,0,,0,17,223,0,0
2023123102,2023-12-31,1,10,38,NE,BUF,3,5,27,0,0,(10:38) (SHOTGUN) 4-B.ZAPPE PASS INCOMPLETE SHORT LEFT TO 88-M.GESICKI [91-E.OLIVER]. THROWN WIDE OF RECEIVER AT NE 37.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,17,262,0,0
2023123102,2023-12-31,1,10,32,NE,BUF,4,5,27,0,0,"(10:32) 17-B.BARINGER PUNTS 57 YARDS TO BUF 16, CENTER-49-J.CARDONA. 11-D.HARTY TO BUF 27 FOR 11 YARDS (18-M.SLATER, 22-C.DAVIS).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,17,268,0,0
2023123102,2023-12-31,1,10,20,BUF,NE,1,10,27,0,0,"(10:20) (SHOTGUN) 4-J.COOK RIGHT TACKLE TO BUF 33 FOR 6 YARDS (27-M.BRYANT, 48-JA.TAVAI).",0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,27,OWN,0,,0,,0,17,280,0,0
2023123102,2023-12-31,1,10,20,BUF,NE,0,0,100,1,0,TIMEOUT AT 10:20.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17,280,0,0
2023123102,2023-12-31,1,9,45,BUF,NE,2,4,33,1,0,"(9:45) (SHOTGUN) 4-J.COOK RIGHT GUARD TO BUF 38 FOR 5 YARDS (55-J.UCHE, 48-JA.TAVAI).",0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,33,OWN,0,,0,,0,17,315,0,0
2023123102,2023-12-31,1,9,8,BUF,NE,1,10,38,0,0,(9:08) (SHOTGUN) 17-J.ALLEN PASS INCOMPLETE SHORT LEFT. THROWN AWAY UNDER PRESSURE FROM K.WHITE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,17,352,0,0
2023123102,2023-12-31,1,9,1,BUF,NE,2,10,38,0,0,(9:01) (SHOTGUN) 17-J.ALLEN PASS INCOMPLETE DEEP MIDDLE TO 14-S.DIGGS (23-K.DUGGER). PRESSURE ON QB: K.WHITE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,17,359,0,0
2023123102,2023-12-31,1,8,55,BUF,NE,3,10,38,0,0,(8:55) (SHOTGUN) 17-J.ALLEN PASS INCOMPLETE SHORT LEFT TO 16-T.SHERFIELD.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,17,365,0,0
2023123102,2023-12-31,1,8,51,BUF,NE,4,10,38,0,0,"(8:51) 8-S.MARTIN PUNTS 48 YARDS TO NE 14, CENTER-69-R.FERGUSON. 27-M.BRYANT RAN OB AT NE 16 FOR 2 YARDS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,17,369,0,0
