GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,NO,TB
2023123109,2023-12-31,3,5,9,NO,TB,3,9,87,0,0,(5:09) (SHOTGUN) 4-D.CARR PASS SHORT LEFT TO 21-J.WILLIAMS TO TB 10 FOR 3 YARDS (50-V.VEA; 29-C.IZIEN).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,13,OPP,0,,0,,0,17,2391,0,0
2023123109,2023-12-31,3,4,29,NO,TB,4,6,90,0,0,"(4:29) 19-B.GRUPE 28 YARD FIELD GOAL IS GOOD, CENTER-49-Z.WOOD, HOLDER-39-L.HEDLEY.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,10,OPP,0,,0,,0,17,2431,0,0
2023123109,2023-12-31,3,4,25,TB,NO,0,0,100,1,0,TIMEOUT AT 04:25.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17,2435,0,0
2023123109,2023-12-31,3,4,25,TB,NO,1,10,25,0,0,(4:25) (SHOTGUN) 1-R.WHITE RIGHT GUARD TO TB 26 FOR 1 YARD (99-K.SAUNDERS).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0,17,2435,0,0
2023123109,2023-12-31,3,4,25,TB,NO,0,0,65,1,0,"19-B.GRUPE KICKS 65 YARDS FROM NO 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,17,2435,0,0
2023123109,2023-12-31,3,3,48,TB,NO,2,9,26,1,0,(3:48) (SHOTGUN) 6-B.MAYFIELD PASS SHORT MIDDLE TO 14-C.GODWIN TO TB 44 FOR 18 YARDS (1-A.TAYLOR).,0,2023,18,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,17,2472,0,0
2023123109,2023-12-31,3,3,21,TB,NO,1,10,44,0,0,"(3:21) (NO HUDDLE, SHOTGUN) 6-B.MAYFIELD PASS SHORT RIGHT TO 1-R.WHITE PUSHED OB AT NO 49 FOR 7 YARDS (20-P.WERNER).",0,2023,7,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,17,2499,0,0
2023123109,2023-12-31,3,2,54,TB,NO,2,3,51,0,0,"(2:54) (NO HUDDLE, SHOTGUN) 6-B.MAYFIELD SACKED AT TB 41 FOR -10 YARDS (90-B.BRESEE).",0,2023,-10,NO HUDDLE SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,49,OPP,0,,0,,0,17,2526,0,0
2023123109,2023-12-31,3,2,12,TB,NO,3,13,41,0,0,(2:12) (SHOTGUN) 6-B.MAYFIELD PASS SHORT RIGHT TO 1-R.WHITE PUSHED OB AT TB 45 FOR 4 YARDS (24-J.ABRAM).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,17,2568,0,0
2023123109,2023-12-31,3,1,34,TB,NO,4,9,45,0,0,"(1:34) 5-J.CAMARDA PUNTS 47 YARDS TO NO 8, CENTER-97-Z.TRINER. 22-R.SHAHEED TO NO 19 FOR 11 YARDS (26-K.MERRIWEATHER).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,17,2606,0,0
2023123109,2023-12-31,3,1,22,NO,TB,1,10,19,0,0,"(1:22) 21-J.WILLIAMS UP THE MIDDLE TO NO 19 FOR NO GAIN (52-K.BRITT, 50-V.VEA).",0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,19,OWN,0,,0,,0,17,2618,0,0
2023123109,2023-12-31,3,0,43,NO,TB,2,10,19,0,0,"(:43) (SHOTGUN) 21-J.WILLIAMS UP THE MIDDLE TO NO 25 FOR 6 YARDS (9-J.TRYON, 54-L.DAVID).",0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,19,OWN,0,,0,,0,17,2657,0,0
2023123109,2023-12-31,4,15,0,NO,TB,3,4,25,0,0,"(15:00) (SHOTGUN) 4-D.CARR PASS SHORT RIGHT TO 83-J.JOHNSON PUSHED OB AT NO 33 FOR 8 YARDS (54-L.DAVID). PENALTY ON TB-54-L.DAVID, DEFENSIVE HOLDING, DECLINED.",0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,25,OWN,0,TB,0,DEFENSIVE HOLDING,0,17,2700,0,0
2023123109,2023-12-31,3,0,0,NO,TB,0,0,100,1,0,END QUARTER 3,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17,2700,0,0
2023123109,2023-12-31,4,14,38,NO,TB,1,10,33,0,0,(14:38) 73-M.GARCIA REPORTED IN AS ELIGIBLE.  21-J.WILLIAMS RIGHT TACKLE TO NO 36 FOR 3 YARDS (94-C.KANCEY).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,33,OWN,0,,0,,0,17,2722,0,0
2023123109,2023-12-31,4,13,52,NO,TB,2,7,36,0,0,(13:52) 21-J.WILLIAMS UP THE MIDDLE TO NO 37 FOR 1 YARD (50-V.VEA).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,36,OWN,0,,0,,0,17,2768,0,0
2023123109,2023-12-31,4,13,11,NO,TB,3,6,37,0,0,(13:11) (SHOTGUN) 4-D.CARR PASS INCOMPLETE DEEP RIGHT TO 83-J.JOHNSON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,17,2809,0,0
2023123109,2023-12-31,4,13,6,NO,TB,4,6,37,0,0,"(13:06) 39-L.HEDLEY PUNTS 39 YARDS TO TB 24, CENTER-49-Z.WOOD, OUT OF BOUNDS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,17,2814,0,0
2023123109,2023-12-31,4,13,0,TB,NO,0,0,100,1,0,TIMEOUT AT 13:00.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17,2820,0,0
2023123109,2023-12-31,4,13,0,TB,NO,1,10,24,0,0,(13:00) (SHOTGUN) 6-B.MAYFIELD PASS SHORT RIGHT TO 22-C.EDMONDS TO TB 29 FOR 5 YARDS (20-P.WERNER).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,17,2820,0,0
2023123109,2023-12-31,4,12,38,TB,NO,2,5,29,1,0,"(12:38) (NO HUDDLE, SHOTGUN) 6-B.MAYFIELD PASS SHORT RIGHT TO 88-C.OTTON TO TB 35 FOR 6 YARDS (20-P.WERNER).",0,2023,6,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,17,2842,0,0
2023123109,2023-12-31,4,12,13,TB,NO,1,10,35,0,0,"(12:13) (NO HUDDLE, SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE SHORT LEFT TO 83-D.THOMPKINS.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,17,2867,0,0
2023123109,2023-12-31,4,12,8,TB,NO,2,10,35,1,0,"(12:08) (NO HUDDLE, SHOTGUN) 6-B.MAYFIELD PASS SHORT LEFT TO 22-C.EDMONDS RAN OB AT TB 45 FOR 10 YARDS (32-T.MATHIEU).",0,2023,10,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,17,2872,0,0
2023123109,2023-12-31,4,11,34,TB,NO,1,10,45,0,0,(11:34) (SHOTGUN) 6-B.MAYFIELD PASS SHORT RIGHT INTENDED FOR 19-D.MOORE INTERCEPTED BY 24-J.ABRAM (92-T.KPASSAGNON) AT NO 46. 24-J.ABRAM TO NO 46 FOR NO GAIN (19-D.MOORE).,0,2023,0,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,1,0,0,0,0,,45,OWN,0,,0,,0,17,2906,0,0
2023123109,2023-12-31,4,11,28,NO,TB,1,10,46,0,0,(11:28) 73-M.GARCIA REPORTED IN AS ELIGIBLE.  4-D.CARR PASS INCOMPLETE SHORT LEFT TO 22-R.SHAHEED (35-J.DEAN).,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,17,2912,0,0
2023123109,2023-12-31,4,11,28,TB,NO,0,0,100,1,0,TIMEOUT AT 11:28.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17,2912,0,0
2023123109,2023-12-31,4,11,24,NO,TB,2,10,46,0,0,(11:24) (SHOTGUN) 7-T.HILL LEFT END TO NO 48 FOR 2 YARDS (92-W.GHOLSTON).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,46,OWN,0,,0,,0,17,2916,0,0
