GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,DET,DAL
2023123000,2023-12-30,1,10,14,DAL,DET,2,2,33,0,0,"(10:14) (SHOTGUN) 20-T.POLLARD LEFT END TO DAL 31 FOR -2 YARDS (97-A.HUTCHINSON, 34-A.ANZALONE).",0,2023,-2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,33,OWN,0,,0,,0,286,0,0
2023123000,2023-12-30,1,9,32,DAL,DET,3,4,31,1,0,(9:32) (SHOTGUN) 4-D.PRESCOTT PASS SHORT LEFT TO 88-C.LAMB TO DET 38 FOR 31 YARDS (1-C.SUTTON).,0,2023,31,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,328,0,0
2023123000,2023-12-30,1,8,55,DAL,DET,1,10,62,0,0,(8:55) (SHOTGUN) 4-D.PRESCOTT PASS SHORT LEFT TO 89-P.HENDERSHOT PUSHED OB AT DET 32 FOR 6 YARDS (31-K.JOSEPH).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,365,0,0
2023123000,2023-12-30,1,8,16,DAL,DET,2,4,68,0,0,(8:16) (SHOTGUN) 4-D.PRESCOTT PASS INCOMPLETE DEEP RIGHT TO 3-B.COOKS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,32,OPP,0,,0,,0,404,0,0
2023123000,2023-12-30,1,8,10,DAL,DET,3,4,68,1,0,(8:10) (SHOTGUN) 4-D.PRESCOTT PASS SHORT RIGHT INTENDED FOR 88-C.LAMB INTERCEPTED BY 6-I.MELIFONWU AT DET 19. 6-I.MELIFONWU TO DET 43 FOR 24 YARDS (88-C.LAMB).,0,2023,24,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,1,0,0,0,0,,32,OPP,0,,0,,0,410,0,0
2023123000,2023-12-30,1,7,59,DET,DAL,1,10,43,0,0,(7:59) (SHOTGUN) 26-J.GIBBS UP THE MIDDLE TO DET 45 FOR 2 YARDS (97-O.ODIGHIZUWA; 2-J.LEWIS).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,43,OWN,0,,0,,0,421,0,0
2023123000,2023-12-30,1,7,59,DAL,DET,0,0,100,1,0,TIMEOUT AT 07:59.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,421,0,0
2023123000,2023-12-30,1,7,16,DET,DAL,2,8,45,1,0,"(7:16) (SHOTGUN) 16-J.GOFF PASS SHORT LEFT TO 14-A.ST. BROWN TO DAL 42 FOR 13 YARDS (6-D.WILSON, 90-D.LAWRENCE).",0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,464,0,0
2023123000,2023-12-30,1,6,40,DET,DAL,1,10,58,0,0,(6:40) (SHOTGUN) 9-J.WILLIAMS RIGHT END TO DAL 36 FOR 6 YARDS (2-J.LEWIS).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,42,OPP,0,,0,,0,500,0,0
2023123000,2023-12-30,1,5,55,DET,DAL,2,4,64,0,0,(5:55) 26-J.GIBBS LEFT GUARD TO DAL 40 FOR -4 YARDS (11-M.PARSONS).,0,2023,-4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,36,OPP,0,,0,,0,545,0,0
