GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,ARI,PHI
2023123108,2023-12-31,1,15,0,PHI,ARI,1,10,25,0,0,(15:00) (SHOTGUN) 0-D.SWIFT LEFT GUARD TO PHI 28 FOR 3 YARDS (51-K.BARNES; 25-Z.COLLINS).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,25,OWN,0,,0,,0,0,0,0
2023123108,2023-12-31,1,15,0,PHI,ARI,0,0,65,1,0,"5-M.PRATER KICKS 65 YARDS FROM ARI 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023123108,2023-12-31,1,14,29,PHI,ARI,2,7,28,0,0,(14:29) 0-D.SWIFT RIGHT END TO PHI 33 FOR 5 YARDS (98-R.LOPEZ).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,28,OWN,0,,0,,0,31,0,0
2023123108,2023-12-31,1,13,47,PHI,ARI,3,2,33,0,0,(13:47) (SHOTGUN) 1-J.HURTS PASS SHORT LEFT TO 14-K.GAINWELL TO PHI 33 FOR NO GAIN (34-J.THOMPSON; 51-K.BARNES).,0,2023,0,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,73,0,0
2023123108,2023-12-31,1,13,9,PHI,ARI,4,2,33,0,0,"(13:09) 10-B.MANN PUNTS 56 YARDS TO ARI 11, CENTER-45-R.LOVATO. 83-G.DORTCH TO ARI 26 FOR 15 YARDS (45-R.LOVATO).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,111,0,0
2023123108,2023-12-31,1,12,55,ARI,PHI,1,10,26,1,0,(12:55) 1-K.MURRAY PASS SHORT LEFT TO 85-T.MCBRIDE TO PHI 48 FOR 26 YARDS (53-S.LEONARD; 29-A.MADDOX).,0,2023,26,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,125,0,0
2023123108,2023-12-31,1,12,11,ARI,PHI,1,10,52,0,0,(12:11) 6-J.CONNER LEFT END PUSHED OB AT PHI 43 FOR 5 YARDS (22-K.RINGO).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,48,OPP,0,,0,,0,169,0,0
2023123108,2023-12-31,1,11,31,ARI,PHI,2,5,57,0,0,(11:31) 6-J.CONNER RIGHT END TO PHI 42 FOR 1 YARD (53-S.LEONARD).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,43,OPP,0,,0,,0,209,0,0
2023123108,2023-12-31,1,10,48,ARI,PHI,3,4,58,1,0,(10:48) (SHOTGUN) 1-K.MURRAY PASS SHORT RIGHT TO 83-G.DORTCH RAN OB AT PHI 36 FOR 6 YARDS.,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,252,0,0
2023123108,2023-12-31,1,10,12,ARI,PHI,1,10,64,0,0,(10:12) 1-K.MURRAY PASS INCOMPLETE SHORT LEFT TO 85-T.MCBRIDE.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,36,OPP,0,,0,,0,288,0,0
2023123108,2023-12-31,1,10,8,ARI,PHI,2,10,64,0,0,(10:08) (SHOTGUN) 1-K.MURRAY PASS SHORT LEFT TO 85-T.MCBRIDE TO PHI 32 FOR 4 YARDS (31-K.BYARD).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,36,OPP,0,,0,,0,292,0,0
2023123108,2023-12-31,1,9,29,ARI,PHI,3,6,68,1,0,(9:29) (SHOTGUN) 1-K.MURRAY PASS SHORT MIDDLE TO 84-E.HIGGINS TO PHI 25 FOR 7 YARDS (32-R.BLANKENSHIP).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,32,OPP,0,,0,,0,331,0,0
2023123108,2023-12-31,1,8,47,ARI,PHI,1,10,75,1,0,(8:47) (SHOTGUN) 6-J.CONNER LEFT END RAN OB AT PHI 15 FOR 10 YARDS (22-K.RINGO).,0,2023,10,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,25,OPP,0,,0,,0,373,0,0
2023123108,2023-12-31,1,8,9,ARI,PHI,1,10,85,0,0,(8:09) 6-J.CONNER UP THE MIDDLE TO PHI 9 FOR 6 YARDS (94-J.SWEAT).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,15,OPP,0,,0,,0,411,0,0
