GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,LV,IND
2023123105,2023-12-31,1,15,0,IND,LV,0,0,65,1,0,"2-D.CARLSON KICKS 64 YARDS FROM LV 35 TO IND 1, FAIR CATCH BY 1-J.DOWNS.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023123105,2023-12-31,1,15,0,IND,LV,1,10,25,0,0,"(15:00) (SHOTGUN) 28-J.TAYLOR RIGHT GUARD TO IND 29 FOR 4 YARDS (41-R.SPILLANE, 91-B.NICHOLS).",0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0,0,0,0
2023123105,2023-12-31,1,14,24,IND,LV,2,6,29,0,0,"(14:24) (SHOTGUN) 28-J.TAYLOR LEFT TACKLE TO IND 30 FOR 1 YARD (95-J.JENKINS, 39-N.HOBBS).",0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,29,OWN,0,,0,,0,36,0,0
2023123105,2023-12-31,1,14,0,IND,LV,3,5,30,1,0,"(14:00) (NO HUDDLE, SHOTGUN) 10-G.MINSHEW PASS DEEP RIGHT TO 1-J.DOWNS PUSHED OB AT LV 20 FOR 50 YARDS (18-J.JONES).",0,2023,50,NO HUDDLE SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,60,0,0
2023123105,2023-12-31,1,13,30,IND,LV,1,10,80,0,0,"(13:30) (NO HUDDLE, SHOTGUN) 28-J.TAYLOR UP THE MIDDLE TO LV 15 FOR 5 YARDS (5-D.DEABLO, 90-J.TILLERY).",0,2023,5,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,20,OPP,0,,0,,0,90,0,0
2023123105,2023-12-31,1,12,53,IND,LV,2,5,85,1,0,"(12:53) 28-J.TAYLOR UP THE MIDDLE TO LV 5 FOR 10 YARDS (39-N.HOBBS, 1-M.EPPS).",0,2023,10,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,15,OPP,0,,0,,0,127,0,0
2023123105,2023-12-31,1,12,15,IND,LV,1,5,95,1,0,"(12:15) (SHOTGUN) 28-J.TAYLOR LEFT END FOR 5 YARDS, TOUCHDOWN.",0,2023,5,SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,LEFT END,5,OPP,0,,0,,0,165,0,0
2023123105,2023-12-31,1,12,11,LV,IND,1,10,25,0,0,(12:11) (SHOTGUN) 4-A.O'CONNELL PASS SHORT LEFT TO 17-D.ADAMS PUSHED OB AT LV 26 FOR 1 YARD (45-E.SPEED).,0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,169,0,0
2023123105,2023-12-31,1,12,11,IND,LV,0,0,85,1,0,"7-M.GAY EXTRA POINT IS GOOD, CENTER-46-L.RHODES, HOLDER-8-R.SANCHEZ.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,169,0,0
2023123105,2023-12-31,1,12,11,IND,LV,0,0,100,1,0,TIMEOUT AT 12:11.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,169,0,0
2023123105,2023-12-31,1,12,11,LV,IND,0,0,65,1,0,"7-M.GAY KICKS 65 YARDS FROM IND 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,169,0,0
2023123105,2023-12-31,1,11,38,LV,IND,2,9,26,1,0,(11:38) (SHOTGUN) 4-A.O'CONNELL PASS SHORT LEFT TO 35-Z.WHITE PUSHED OB AT LV 40 FOR 14 YARDS (48-R.HARRISON).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,202,0,0
2023123105,2023-12-31,1,11,6,LV,IND,1,10,40,0,0,(11:06) 35-Z.WHITE LEFT GUARD TO LV 42 FOR 2 YARDS (52-S.EBUKAM).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,40,OWN,0,,0,,0,234,0,0
2023123105,2023-12-31,1,10,30,LV,IND,2,8,42,0,0,(10:30) 4-A.O'CONNELL PASS INCOMPLETE SHORT LEFT TO 35-Z.WHITE [52-S.EBUKAM].,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,270,0,0
