GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,HOU,TEN
2023123104,2023-12-31,1,7,31,HOU,TEN,2,10,90,0,0,(7:31) 7-C.STROUD PASS INCOMPLETE SHORT MIDDLE.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,10,OPP,0,,0,,0,17,449,0,0
2023123104,2023-12-31,1,7,24,HOU,TEN,3,10,90,0,0,(7:24) (SHOTGUN) 7-C.STROUD PASS INCOMPLETE SHORT LEFT TO 85-N.BROWN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,10,OPP,0,,0,,0,17,456,0,0
2023123104,2023-12-31,1,7,20,HOU,TEN,4,10,90,0,0,"(7:20) 15-K.FAIRBAIRN 28 YARD FIELD GOAL IS GOOD, CENTER-46-J.WEEKS, HOLDER-11-C.JOHNSTON.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,10,OPP,0,,0,,0,17,460,0,0
2023123104,2023-12-31,1,7,17,TEN,HOU,1,10,25,0,0,(7:17) 61-J.OJUKWU REPORTED IN AS ELIGIBLE.  8-W.LEVIS PASS SHORT LEFT TO 10-D.HOPKINS TO TEN 29 FOR 4 YARDS (30-D.HOUSTON-CARSON).,0,2023,4,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,17,463,0,0
2023123104,2023-12-31,1,7,17,TEN,HOU,0,0,65,1,0,"15-K.FAIRBAIRN KICKS 65 YARDS FROM HOU 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,17,463,0,0
2023123104,2023-12-31,1,7,17,HOU,TEN,0,0,100,1,0,TIMEOUT AT 07:17.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,17,463,0,0
2023123104,2023-12-31,1,6,44,TEN,HOU,2,6,29,1,0,(6:44) 61-J.OJUKWU REPORTED IN AS ELIGIBLE.  22-D.HENRY LEFT TACKLE TO TEN 36 FOR 7 YARDS (21-S.NELSON).,0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,29,OWN,0,,0,,0,17,496,0,0
2023123104,2023-12-31,1,6,6,TEN,HOU,1,10,36,0,0,(6:06) (SHOTGUN) 32-T.SPEARS LEFT TACKLE TO TEN 41 FOR 5 YARDS (97-T.TART).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,36,OWN,0,,0,,0,17,534,0,0
2023123104,2023-12-31,1,5,24,TEN,HOU,2,5,41,0,0,(5:24) (SHOTGUN) 61-J.OJUKWU REPORTED IN AS ELIGIBLE.  22-D.HENRY RIGHT GUARD TO TEN 43 FOR 2 YARDS (6-D.PERRYMAN).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,41,OWN,0,,0,,0,17,576,0,0
2023123104,2023-12-31,1,4,45,TEN,HOU,3,3,43,0,0,"(4:45) (SHOTGUN) 32-T.SPEARS RIGHT GUARD TO TEN 45 FOR 2 YARDS (53-B.CASHMAN, 25-D.KING).",0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,43,OWN,0,,0,,0,17,615,0,0
2023123104,2023-12-31,1,4,21,TEN,HOU,4,1,45,1,0,(4:21) (NO HUDDLE) 8-W.LEVIS PASS SHORT RIGHT TO 10-D.HOPKINS TO HOU 43 FOR 12 YARDS (5-J.PITRE).,0,2023,12,NO HUDDLE,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,17,639,0,0
