GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CAR,JAX
2023123106,2023-12-31,1,15,0,JAX,CAR,0,0,65,1,0,54-K.GRUGIER-HILL KICKS 47 YARDS FROM CAR 35 TO JAX 18. 25-D.JOHNSON TO JAX 40 FOR 22 YARDS (27-A.COOK).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023123106,2023-12-31,1,14,54,JAX,CAR,1,10,40,0,0,(14:54) 1-T.ETIENNE UP THE MIDDLE TO JAX 45 FOR 5 YARDS (54-K.GRUGIER-HILL). CAR-49-F.LUVU WAS INJURED DURING THE PLAY.,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,40,OWN,0,,0,,0,6,0,0
2023123106,2023-12-31,1,14,34,JAX,CAR,2,5,45,0,0,"(14:34) (SHOTGUN) 1-T.ETIENNE RIGHT GUARD TO JAX 49 FOR 4 YARDS (95-DER.BROWN, 96-D.WILLIAMS).",0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,45,OWN,0,,0,,0,26,0,0
2023123106,2023-12-31,1,14,0,JAX,CAR,3,1,49,1,0,(14:00) (SHOTGUN) 3-C.BEATHARD PASS SHORT LEFT TO 17-E.ENGRAM TO CAR 41 FOR 10 YARDS (0-B.BURNS).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,49,OWN,0,,0,,0,60,0,0
2023123106,2023-12-31,1,13,28,JAX,CAR,1,10,59,0,0,(13:28) (SHOTGUN) 3-C.BEATHARD PASS SHORT RIGHT TO 39-J.AGNEW RAN OB AT CAR 36 FOR 5 YARDS.,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OPP,0,,0,,0,92,0,0
2023123106,2023-12-31,1,13,1,JAX,CAR,2,5,64,0,0,(13:01) (SHOTGUN) 4-T.BIGSBY UP THE MIDDLE TO CAR 35 FOR 1 YARD (21-J.CHINN).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,36,OPP,0,,0,,0,119,0,0
2023123106,2023-12-31,1,12,23,JAX,CAR,3,4,65,1,0,(12:23) (SHOTGUN) 3-C.BEATHARD PASS SHORT RIGHT TO 0-C.RIDLEY TO CAR 23 FOR 12 YARDS (20-S.GRIFFIN).,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,157,0,0
2023123106,2023-12-31,1,11,46,JAX,CAR,1,10,77,0,0,(11:46) 1-T.ETIENNE RIGHT GUARD TO CAR 21 FOR 2 YARDS (98-M.HAYNES; 40-D.JONES).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,23,OPP,0,,0,,0,194,0,0
2023123106,2023-12-31,1,11,11,JAX,CAR,2,8,79,0,0,(11:11) (SHOTGUN) 3-C.BEATHARD PASS SHORT LEFT TO 89-L.FARRELL TO CAR 14 FOR 7 YARDS (40-D.JONES).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,21,OPP,0,,0,,0,229,0,0
2023123106,2023-12-31,1,10,36,JAX,CAR,3,1,86,1,0,(10:36) 4-T.BIGSBY UP THE MIDDLE TO CAR 11 FOR 3 YARDS (98-M.HAYNES).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,14,OPP,0,,0,,0,264,0,0
2023123106,2023-12-31,1,10,2,JAX,CAR,0,0,100,1,0,TIMEOUT #1 BY CAR AT 10:02.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,298,0,0
2023123106,2023-12-31,1,10,2,JAX,CAR,1,10,89,0,0,(10:02) (SHOTGUN) 25-D.JOHNSON LEFT GUARD TO CAR 10 FOR 1 YARD (95-DER.BROWN; 97-Y.GROSS-MATOS).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,11,OPP,0,,0,,0,298,0,0
2023123106,2023-12-31,1,9,22,JAX,CAR,2,9,90,0,0,(9:22) (SHOTGUN) 3-C.BEATHARD PASS INCOMPLETE SHORT RIGHT TO 85-B.STRANGE [0-B.BURNS].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,10,OPP,0,,0,,0,338,0,0
2023123106,2023-12-31,1,9,18,JAX,CAR,3,9,90,0,0,(9:18) (SHOTGUN) 3-C.BEATHARD SACKED AT CAR 17 FOR -7 YARDS (0-B.BURNS).,0,2023,-7,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,10,OPP,0,,0,,0,342,0,0
