GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,NYJ,CLE
2023122800,2023-12-28,1,9,32,NYJ,CLE,1,10,74,0,0,(9:32) 20-BRE.HALL RIGHT TACKLE TO CLE 21 FOR 5 YARDS (6-J.OWUSU-KORAMOAH).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,26,OPP,0,,0,,0,328,0,0
2023122800,2023-12-28,1,8,55,NYJ,CLE,2,5,79,0,0,(8:55) 25-I.ABANIKANDA LEFT TACKLE TO CLE 21 FOR NO GAIN (95-M.GARRETT).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,21,OPP,0,,0,,0,365,0,0
2023122800,2023-12-28,1,8,14,NYJ,CLE,3,5,79,1,0,"(8:14) (SHOTGUN) 14-T.SIEMIAN PASS SHORT MIDDLE TO 20-BRE.HALL FOR 21 YARDS, TOUCHDOWN.",0,2023,21,SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,21,OPP,0,,0,,0,406,0,0
2023122800,2023-12-28,1,8,6,CLE,NYJ,0,0,65,1,0,"9-G.ZUERLEIN KICKS 65 YARDS FROM NYJ 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,414,0,0
2023122800,2023-12-28,1,8,6,NYJ,CLE,0,0,85,1,0,"9-G.ZUERLEIN EXTRA POINT IS GOOD, CENTER-42-T.HENNESSY, HOLDER-5-T.MORSTEAD.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,414,0,0
2023122800,2023-12-28,1,8,6,CLE,NYJ,0,0,100,1,0,TIMEOUT AT 08:06.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,414,0,0
2023122800,2023-12-28,1,8,6,CLE,NYJ,1,10,25,0,0,(8:06) (SHOTGUN) 15-J.FLACCO PASS INCOMPLETE SHORT RIGHT TO 88-H.BRYANT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,414,0,0
2023122800,2023-12-28,1,8,0,CLE,NYJ,2,10,25,1,0,(8:00) (SHOTGUN) 34-J.FORD RIGHT TACKLE TO CLE 41 FOR 16 YARDS (56-QU.WILLIAMS).,0,2023,16,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,25,OWN,0,,0,,0,420,0,0
2023122800,2023-12-28,1,7,23,CLE,NYJ,1,10,41,1,0,(7:23) 68-M.DUNN REPORTED IN AS ELIGIBLE.  34-J.FORD LEFT TACKLE TO NYJ 48 FOR 11 YARDS (3-J.WHITEHEAD).,0,2023,11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,41,OWN,0,,0,,0,457,0,0
2023122800,2023-12-28,1,6,41,CLE,NYJ,1,10,52,0,0,"(6:41) 15-J.FLACCO SACKED AT CLE 44 FOR -8 YARDS. FUMBLES, AND RECOVERS AT CLE 44. 15-J.FLACCO TO CLE 44 FOR NO GAIN (99-W.MCDONALD).",0,2023,-8,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,1,0,0,0,,48,OPP,0,,0,,0,499,0,0
2023122800,2023-12-28,1,6,3,CLE,NYJ,2,18,44,0,0,(6:03) (SHOTGUN) 15-J.FLACCO PASS SHORT RIGHT TO 85-D.NJOKU TO 50 FOR 6 YARDS (57-C.MOSLEY).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,537,0,0
2023122800,2023-12-28,1,5,28,CLE,NYJ,3,12,100,1,0,(5:28) (SHOTGUN) 15-J.FLACCO PASS SHORT RIGHT TO 85-D.NJOKU PUSHED OB AT NYJ 7 FOR 43 YARDS (3-J.WHITEHEAD).,0,2023,43,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,572,0,0
