GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,GB,DET
2023092800,2023-09-28,1,15,0,DET,GB,1,10,25,0,0,"(15:00) 5-D.MONTGOMERY LEFT TACKLE TO DET 25 FOR NO GAIN (91-P.SMITH, 7-Q.WALKER).",0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,25,OWN,0,,0,,0,0,0,0
2023092800,2023-09-28,1,15,0,DET,GB,0,0,65,1,0,"17-A.CARLSON KICKS 65 YARDS FROM GB 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023092800,2023-09-28,1,14,27,DET,GB,2,10,25,0,0,(14:27) (SHOTGUN) 16-J.GOFF PASS SHORT LEFT TO 11-K.RAYMOND TO DET 23 FOR -2 YARDS (29-R.DOUGLAS).,0,2023,-2,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,33,0,0
2023092800,2023-09-28,1,13,44,DET,GB,3,12,23,1,0,(13:44) (SHOTGUN) 16-J.GOFF PASS SHORT MIDDLE INTENDED FOR 14-A.ST. BROWN INTERCEPTED BY 20-R.FORD AT DET 37. 20-R.FORD RAN OB AT DET 16 FOR 21 YARDS (16-J.GOFF).,0,2023,21,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,1,0,0,0,0,,23,OWN,0,,0,,0,76,0,0
2023092800,2023-09-28,1,13,34,GB,DET,1,10,84,0,0,(13:34) (SHOTGUN) 10-J.LOVE PASS INCOMPLETE SHORT RIGHT TO 33-A.JONES.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,16,OPP,0,,0,,0,86,0,0
2023092800,2023-09-28,1,13,25,GB,DET,2,10,84,0,0,(13:25) (SHOTGUN) 10-J.LOVE SACKED AT DET 25 FOR -9 YARDS (97-A.HUTCHINSON).,0,2023,-9,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,16,OPP,0,,0,,0,95,0,0
2023092800,2023-09-28,1,12,41,GB,DET,3,19,75,0,0,(12:41) (SHOTGUN) 10-J.LOVE PASS SHORT LEFT TO 87-R.DOUBS TO DET 16 FOR 9 YARDS (6-I.MELIFONWU).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,139,0,0
2023092800,2023-09-28,1,12,3,GB,DET,4,10,84,0,0,"(12:03) 17-A.CARLSON 34 YARD FIELD GOAL IS GOOD, CENTER-42-M.ORZECH, HOLDER-19-D.WHELAN.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,16,OPP,0,,0,,0,177,0,0
2023092800,2023-09-28,1,11,59,DET,GB,1,10,25,0,0,"(11:59) 5-D.MONTGOMERY UP THE MIDDLE TO DET 27 FOR 2 YARDS (91-P.SMITH, 26-D.SAVAGE).",0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OWN,0,,0,,0,181,0,0
2023092800,2023-09-28,1,11,59,DET,GB,0,0,65,1,0,"17-A.CARLSON KICKS 65 YARDS FROM GB 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,181,0,0
2023092800,2023-09-28,1,11,59,GB,DET,0,0,100,1,0,TIMEOUT AT 11:59.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,181,0,0
2023092800,2023-09-28,1,11,24,DET,GB,2,8,27,0,0,(11:24) 26-J.GIBBS RIGHT END TO DET 34 FOR 7 YARDS (26-D.SAVAGE).,0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,27,OWN,0,,0,,0,216,0,0
2023092800,2023-09-28,1,10,47,DET,GB,3,1,34,1,0,(10:47) 5-D.MONTGOMERY UP THE MIDDLE TO DET 36 FOR 2 YARDS (96-C.WOODEN).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,34,OWN,0,,0,,0,253,0,0
2023092800,2023-09-28,1,10,14,DET,GB,1,10,36,0,0,(10:14) (SHOTGUN) 16-J.GOFF PASS SHORT RIGHT TO 26-J.GIBBS TO DET 39 FOR 3 YARDS (7-Q.WALKER).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,286,0,0
