GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CLE,BAL
2023100104,2023-10-01,1,15,0,BAL,CLE,0,0,65,1,0,7-D.HOPKINS KICKS 57 YARDS FROM CLE 35 TO BAL 8. 13-D.DUVERNAY TO BAL 24 FOR 16 YARDS (20-P.STRONG).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023100104,2023-10-01,1,14,56,BAL,CLE,1,10,24,0,0,"(14:56) (SHOTGUN) 35-G.EDWARDS RIGHT GUARD TO BAL 30 FOR 6 YARDS (22-G.DELPIT, 1-J.THORNHILL).",0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,24,OWN,0,,0,,0,4,0,0
2023100104,2023-10-01,1,14,17,BAL,CLE,2,4,30,0,0,"(14:17) (SHOTGUN) PENALTY ON BAL-78-M.MOSES, FALSE START, 5 YARDS, ENFORCED AT BAL 30 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,30,OWN,1,BAL,1,FALSE START,5,43,0,0
2023100104,2023-10-01,1,14,1,BAL,CLE,2,9,25,0,0,(14:01) (SHOTGUN) 35-G.EDWARDS LEFT END TO BAL 28 FOR 3 YARDS (1-J.THORNHILL).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,25,OWN,0,,0,,0,59,0,0
2023100104,2023-10-01,1,13,23,BAL,CLE,3,6,28,0,0,(13:23) (SHOTGUN) 8-L.JACKSON SCRAMBLES RIGHT END PUSHED OB AT BAL 30 FOR 2 YARDS (1-J.THORNHILL).,0,2023,2,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,97,0,0
2023100104,2023-10-01,1,12,50,BAL,CLE,4,4,30,0,0,"(12:50) 11-J.STOUT PUNTS 45 YARDS TO CLE 25, CENTER-69-T.OTT, OUT OF BOUNDS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,130,0,0
2023100104,2023-10-01,1,12,42,CLE,BAL,1,10,25,0,0,"(12:42) 34-J.FORD LEFT TACKLE TO BAL 49 FOR 26 YARDS (26-G.STONE; 6-P.QUEEN). PENALTY ON CLE-2-A.COOPER, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT CLE 35.",0,2023,26,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT TACKLE,25,OWN,1,CLE,0,OFFENSIVE HOLDING,10,138,0,0
2023100104,2023-10-01,1,12,15,CLE,BAL,1,10,25,0,0,(12:15) (SHOTGUN) 17-D.THOMPSON-ROBINSON PASS SHORT LEFT TO 11-D.PEOPLES-JONES TO CLE 32 FOR 7 YARDS (21-B.STEPHENS).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,165,0,0
2023100104,2023-10-01,1,11,36,CLE,BAL,2,3,32,0,0,"(11:36) (SHOTGUN) 34-J.FORD LEFT GUARD TO CLE 30 FOR -2 YARDS (6-P.QUEEN). PENALTY ON CLE, ILLEGAL SHIFT, DECLINED.",0,2023,-2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT GUARD,32,OWN,0,CLE,0,ILLEGAL SHIFT,0,204,0,0
2023100104,2023-10-01,1,11,11,CLE,BAL,3,5,30,1,0,(11:11) (SHOTGUN) 17-D.THOMPSON-ROBINSON PASS SHORT MIDDLE TO 85-D.NJOKU TO CLE 45 FOR 15 YARDS (26-G.STONE).,0,2023,15,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,229,0,0
2023100104,2023-10-01,1,10,31,CLE,BAL,1,10,45,0,0,"(10:31) (SHOTGUN) 17-D.THOMPSON-ROBINSON PASS SHORT RIGHT TO 88-H.BRYANT TO CLE 47 FOR 2 YARDS (14-K.HAMILTON, 0-R.SMITH).",0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,269,0,0
2023100104,2023-10-01,1,9,55,CLE,BAL,2,8,47,0,0,(9:55) (SHOTGUN) 17-D.THOMPSON-ROBINSON PASS INCOMPLETE SHORT MIDDLE TO 11-D.PEOPLES-JONES (0-R.SMITH).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,305,0,0
2023100104,2023-10-01,1,9,51,CLE,BAL,3,8,47,0,0,(9:51) (SHOTGUN) 17-D.THOMPSON-ROBINSON PASS INCOMPLETE SHORT RIGHT TO 8-E.MOORE (41-D.WORLEY).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,309,0,0
