GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CHI,DEN
2023100103,2023-10-01,1,8,9,DEN,CHI,1,10,68,0,0,"(8:09) 3-R.WILSON PASS SHORT LEFT TO 33-J.WILLIAMS TO CHI 29 FOR 3 YARDS (57-J.SANBORN, 32-T.SMITH).",0,2023,3,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,32,OPP,0,,0,,0,411,0,0
2023100103,2023-10-01,1,7,26,DEN,CHI,2,7,71,0,0,(7:26) 38-J.MCLAUGHLIN RIGHT TACKLE TO CHI 23 FOR 6 YARDS (57-J.SANBORN).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,29,OPP,0,,0,,0,454,0,0
2023100103,2023-10-01,1,6,41,DEN,CHI,3,1,77,1,0,(6:41) 3-R.WILSON SCRAMBLES RIGHT END TO CHI 21 FOR 2 YARDS (53-T.EDWARDS).,0,2023,2,UNDER CENTER,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,23,OPP,0,,0,,0,499,0,0
2023100103,2023-10-01,1,6,2,DEN,CHI,1,10,79,0,0,"(6:02) 25-S.PERINE LEFT GUARD TO CHI 18 FOR 3 YARDS (53-T.EDWARDS, 93-JU.JONES).",0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,21,OPP,0,,0,,0,538,0,0
2023100103,2023-10-01,1,5,22,DEN,CHI,2,7,82,0,0,(5:22) (SHOTGUN) 3-R.WILSON PASS INCOMPLETE SHORT LEFT TO 82-A.TRAUTMAN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,578,0,0
2023100103,2023-10-01,1,5,15,DEN,CHI,3,7,82,1,0,"(5:15) (SHOTGUN) 3-R.WILSON PASS SHORT RIGHT TO 38-J.MCLAUGHLIN FOR 18 YARDS, TOUCHDOWN.",0,2023,18,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,585,0,0
2023100103,2023-10-01,1,5,8,CHI,DEN,0,0,65,1,0,"16-W.LUTZ KICKS 65 YARDS FROM DEN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,592,0,0
2023100103,2023-10-01,1,5,8,DEN,CHI,0,0,85,1,0,"16-W.LUTZ EXTRA POINT IS GOOD, CENTER-48-M.FRABONI, HOLDER-9-R.DIXON.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,592,0,0
2023100103,2023-10-01,1,5,8,CHI,DEN,0,0,100,1,0,TIMEOUT AT 05:08.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,592,0,0
2023100103,2023-10-01,1,5,8,CHI,DEN,1,10,25,0,0,"(5:08) (SHOTGUN) 24-K.HERBERT RIGHT TACKLE TO CHI 28 FOR 3 YARDS (41-D.SANDERS, 5-R.GREGORY).",0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,25,OWN,0,,0,,0,592,0,0
