GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,NYG,SEA
2023100200,2023-10-02,1,7,27,SEA,NYG,4,17,20,0,0,"(7:27) 4-M.DICKSON PUNTS 45 YARDS TO NYG 35, CENTER-41-C.STOLL. 20-E.GRAY MUFFS CATCH, TOUCHED AT NYG 35, RECOVERED BY NYG-44-N.MCCLOUD AT NYG 33.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,4,453,0,0
2023100200,2023-10-02,1,7,14,NYG,SEA,1,10,33,1,0,(7:14) 8-D.JONES SCRAMBLES LEFT END TO NYG 49 FOR 16 YARDS (20-J.LOVE; 27-T.WOOLEN).,0,2023,16,UNDER CENTER,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,4,466,0,0
2023100200,2023-10-02,1,7,14,NYG,SEA,0,0,100,1,0,TIMEOUT AT 07:14.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,4,466,0,0
2023100200,2023-10-02,1,6,27,NYG,SEA,1,10,49,0,0,"(6:27) (SHOTGUN) 8-D.JONES PASS SHORT RIGHT TO 12-D.WALLER TO SEA 46 FOR 5 YARDS (30-M.JACKSON, 58-D.HALL).",0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,49,OWN,0,,0,,0,4,513,0,0
2023100200,2023-10-02,1,5,55,NYG,SEA,2,5,54,0,0,(5:55) (SHOTGUN) 8-D.JONES SACKED AT NYG 48 FOR -6 YARDS (21-D.WITHERSPOON).,0,2023,-6,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,4,545,0,0
2023100200,2023-10-02,1,5,29,NYG,SEA,3,11,48,0,0,"(5:29) (NO HUDDLE, SHOTGUN) 8-D.JONES PASS INCOMPLETE SHORT MIDDLE TO 86-D.SLAYTON.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,48,OWN,0,,0,,0,4,571,0,0
2023100200,2023-10-02,1,5,26,NYG,SEA,4,11,48,0,0,"(5:26) 6-J.GILLAN PUNTS 52 YARDS TO END ZONE, CENTER-59-C.KREITER, TOUCHBACK.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,48,OWN,0,,0,,0,4,574,0,0
2023100200,2023-10-02,1,5,17,NYG,SEA,0,0,100,1,0,TIMEOUT AT 05:17.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,4,583,0,0
2023100200,2023-10-02,1,5,17,SEA,NYG,1,10,20,1,0,(5:17) (SHOTGUN) 7-G.SMITH PASS SHORT RIGHT TO 87-N.FANT TO SEA 32 FOR 12 YARDS (27-J.PINNOCK).,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,4,583,0,0
2023100200,2023-10-02,1,4,42,SEA,NYG,1,10,32,0,0,"(4:42) (SHOTGUN) 7-G.SMITH PASS INCOMPLETE DEEP LEFT TO 16-T.LOCKETT. SEA-60-P.HAYNES WAS INJURED DURING THE PLAY.  PENALTY ON SEA-60-P.HAYNES, OFFENSIVE HOLDING, OFFSETTING, ENFORCED AT SEA 32 - NO PLAY. PENALTY ON NYG-22-A.JACKSON, DEFENSIVE PASS INTERFERENCE, OFFSETTING.",0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,1,0,0,,32,OWN,1,SEA,1,OFFENSIVE HOLDING,0,4,618,0,0
2023100200,2023-10-02,1,4,35,SEA,NYG,1,10,32,0,0,"(4:35) (SHOTGUN) 9-K.WALKER LEFT END PUSHED OB AT SEA 37 FOR 5 YARDS (22-A.JACKSON). PENALTY ON SEA-75-A.BRADFORD, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT SEA 32 - NO PLAY.",0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT END,32,OWN,1,SEA,1,OFFENSIVE HOLDING,10,4,625,0,0
2023100200,2023-10-02,1,4,2,SEA,NYG,1,20,22,0,0,"(4:02) (SHOTGUN) PENALTY ON SEA-63-E.BROWN, FALSE START, 4 YARDS, ENFORCED AT SEA 22 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,22,OWN,1,SEA,1,FALSE START,4,4,658,0,0
