GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,HOU,PIT
2023100105,2023-10-01,1,9,25,HOU,PIT,2,10,90,0,0,"(9:25) 7-C.STROUD PASS INCOMPLETE SHORT LEFT TO 9-B.JORDAN. PENALTY ON PIT-39-M.FITZPATRICK, DEFENSIVE PASS INTERFERENCE, 8 YARDS, ENFORCED AT PIT 10 - NO PLAY.",0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,10,OPP,1,PIT,1,DEFENSIVE PASS INTERFERENCE,8,4,335,0,0
2023100105,2023-10-01,1,9,20,HOU,PIT,1,2,98,0,0,"(9:20) (SHOTGUN) 31-D.PIERCE RIGHT GUARD TO PIT 2 FOR NO GAIN (50-E.ROBERTS, 57-M.ADAMS).",0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,2,OPP,0,,0,,0,4,340,0,0
2023100105,2023-10-01,1,8,58,HOU,PIT,2,2,98,1,0,"(8:58) (NO HUDDLE, SHOTGUN) 7-C.STROUD PASS SHORT MIDDLE TO 12-N.COLLINS FOR 2 YARDS, TOUCHDOWN.",0,2023,2,NO HUDDLE SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,2,OPP,0,,0,,0,4,362,0,0
2023100105,2023-10-01,1,8,55,HOU,PIT,0,0,100,1,0,TIMEOUT AT 08:55.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,4,365,0,0
2023100105,2023-10-01,1,8,55,HOU,PIT,0,0,85,1,0,"15-K.FAIRBAIRN EXTRA POINT IS GOOD, CENTER-46-J.WEEKS, HOLDER-16-T.ZENTNER.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,4,365,0,0
2023100105,2023-10-01,1,8,55,PIT,HOU,0,0,65,1,0,15-K.FAIRBAIRN KICKS 67 YARDS FROM HOU 35 TO PIT -2. 25-D.KING TO PIT 19 FOR 21 YARDS (43-N.HEWITT).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,4,365,0,0
2023100105,2023-10-01,1,8,50,PIT,HOU,1,10,19,0,0,"(8:50) (SHOTGUN) 22-N.HARRIS LEFT GUARD TO PIT 22 FOR 3 YARDS (48-C.HARRIS, 52-J.GREENARD).",0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,19,OWN,0,,0,,0,4,370,0,0
2023100105,2023-10-01,1,8,19,PIT,HOU,2,7,22,0,0,(8:19) (SHOTGUN) 8-K.PICKETT PASS INCOMPLETE SHORT RIGHT TO 88-P.FREIERMUTH.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,4,401,0,0
2023100105,2023-10-01,1,8,16,PIT,HOU,3,7,22,1,0,"(8:16) (SHOTGUN) 8-K.PICKETT SCRAMBLES LEFT END TO PIT 30 FOR 8 YARDS (51-W.ANDERSON, 1-J.WARD).",0,2023,8,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,4,404,0,0
2023100105,2023-10-01,1,7,31,PIT,HOU,1,10,30,0,0,(7:31) 22-N.HARRIS LEFT TACKLE TO PIT 34 FOR 4 YARDS (21-S.NELSON).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,30,OWN,0,,0,,0,4,449,0,0
