GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,PHI,WAS
2023100108,2023-10-01,1,7,55,WAS,PHI,2,1,99,1,0,"(7:55) (SHOTGUN) 4-C.SAMUEL LEFT END FOR 1 YARD, TOUCHDOWN.",0,2023,1,SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,LEFT END,1,OPP,0,,0,,0,4,425,0,0
2023100108,2023-10-01,1,7,52,PHI,WAS,0,0,65,1,0,"6-J.SLYE KICKS 65 YARDS FROM WAS 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,4,428,0,0
2023100108,2023-10-01,1,7,52,WAS,PHI,0,0,85,1,0,"6-J.SLYE EXTRA POINT IS GOOD, CENTER-54-C.CHEESEMAN, HOLDER-5-T.WAY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,4,428,0,0
2023100108,2023-10-01,1,7,52,PHI,WAS,0,0,100,1,0,TIMEOUT AT 07:52.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,4,428,0,0
2023100108,2023-10-01,1,7,52,PHI,WAS,1,10,25,0,0,(7:52) (SHOTGUN) 1-J.HURTS PASS SHORT MIDDLE TO 0-D.SWIFT TO PHI 34 FOR 9 YARDS (31-K.CURL).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,4,428,0,0
2023100108,2023-10-01,1,7,18,PHI,WAS,2,1,34,1,0,(7:18) (SHOTGUN) 1-J.HURTS PASS SHORT LEFT TO 11-A.BROWN TO PHI 44 FOR 10 YARDS (31-K.CURL; 13-E.FORBES).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,4,462,0,0
2023100108,2023-10-01,1,6,42,PHI,WAS,1,10,44,0,0,"(6:42) (SHOTGUN) 0-D.SWIFT UP THE MIDDLE TO PHI 43 FOR -1 YARDS (90-M.SWEAT, 99-C.YOUNG).",0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,44,OWN,0,,0,,0,4,498,0,0
2023100108,2023-10-01,1,6,9,PHI,WAS,2,11,43,0,0,"(6:09) (SHOTGUN) PENALTY ON PHI-69-L.DICKERSON, FALSE START, 5 YARDS, ENFORCED AT PHI 43 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,43,OWN,1,PHI,1,FALSE START,5,4,531,0,0
2023100108,2023-10-01,1,5,53,PHI,WAS,2,16,38,0,0,(5:53) (SHOTGUN) 1-J.HURTS PASS SHORT RIGHT TO 6-D.SMITH TO PHI 46 FOR 8 YARDS (29-K.FULLER).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,4,547,0,0
2023100108,2023-10-01,1,5,10,PHI,WAS,3,8,46,1,0,(5:10) (SHOTGUN) 1-J.HURTS PASS SHORT LEFT TO 11-A.BROWN TO WAS 43 FOR 11 YARDS (99-C.YOUNG).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,4,590,0,0
2023100108,2023-10-01,1,4,43,PHI,WAS,1,10,57,0,0,"(4:43) (NO HUDDLE, SHOTGUN) 1-J.HURTS SACKED AT WAS 43 FOR 0 YARDS (31-K.CURL).",0,2023,0,NO HUDDLE SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,4,617,0,0
2023100108,2023-10-01,1,3,56,PHI,WAS,2,10,57,0,0,"(3:56) (SHOTGUN) 1-J.HURTS PASS SHORT LEFT TO 0-D.SWIFT PUSHED OB AT WAS 36 FOR 7 YARDS (57-C.BARTON). PENALTY ON WAS-25-B.ST-JUSTE, FACE MASK, 15 YARDS, ENFORCED AT WAS 36.",0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,43,OPP,1,WAS,0,FACE MASK,15,4,664,0,0
2023100108,2023-10-01,1,3,36,PHI,WAS,1,10,79,0,0,(3:36) (SHOTGUN) 0-D.SWIFT UP THE MIDDLE TO WAS 13 FOR 8 YARDS (92-A.ANDERSON).,0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,21,OPP,0,,0,,0,4,684,0,0
2023100108,2023-10-01,1,3,8,PHI,WAS,2,2,87,0,0,"(3:08) (NO HUDDLE, SHOTGUN) 1-J.HURTS PASS SHORT RIGHT TO 0-D.SWIFT TO WAS 17 FOR -4 YARDS (52-J.DAVIS).",0,2023,-4,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,13,OPP,0,,0,,0,4,712,0,0
2023100108,2023-10-01,1,2,30,PHI,WAS,3,6,83,1,0,"(2:30) (SHOTGUN) 1-J.HURTS PASS SHORT MIDDLE TO 88-D.GOEDERT TO WAS 9 FOR 8 YARDS (31-K.CURL, 22-D.FORREST).",0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,17,OPP,0,,0,,0,4,750,0,0
2023100108,2023-10-01,1,1,56,PHI,WAS,1,9,91,0,0,"(1:56) (NO HUDDLE, SHOTGUN) 0-D.SWIFT UP THE MIDDLE TO WAS 5 FOR 4 YARDS (22-D.FORREST; 31-K.CURL).",0,2023,4,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,9,OPP,0,,0,,0,4,784,0,0
2023100108,2023-10-01,1,1,20,PHI,WAS,2,5,95,1,0,"(1:20) (SHOTGUN) 0-D.SWIFT LEFT GUARD FOR 5 YARDS, TOUCHDOWN.",0,2023,5,SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,LEFT GUARD,5,OPP,0,,0,,0,4,820,0,0
2023100108,2023-10-01,1,1,17,WAS,PHI,1,10,25,1,0,"(1:17) (SHOTGUN) 24-A.GIBSON RIGHT TACKLE TO WAS 35 FOR 10 YARDS (2-D.SLAY, 94-J.SWEAT).",0,2023,10,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,25,OWN,0,,0,,0,4,823,0,0
2023100108,2023-10-01,1,1,17,PHI,WAS,0,0,85,1,0,"4-J.ELLIOTT EXTRA POINT IS GOOD, CENTER-45-R.LOVATO, HOLDER-10-B.MANN.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,4,823,0,0
2023100108,2023-10-01,1,1,17,PHI,WAS,0,0,100,1,0,TIMEOUT AT 01:17.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,4,823,0,0
2023100108,2023-10-01,1,1,17,WAS,PHI,0,0,65,1,0,"4-J.ELLIOTT KICKS 65 YARDS FROM PHI 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,4,823,0,0
