GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,TB,NO
2023100107,2023-10-01,1,9,20,TB,NO,1,10,25,1,0,(9:20) 6-B.MAYFIELD PASS DEEP LEFT TO 13-M.EVANS TO TB 43 FOR 18 YARDS (23-M.LATTIMORE).,0,2023,18,UNDER CENTER,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,340,0,0
2023100107,2023-10-01,1,9,20,NO,TB,0,0,100,1,0,TIMEOUT AT 09:20.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,340,0,0
2023100107,2023-10-01,1,9,20,TB,NO,0,0,65,1,0,"19-B.GRUPE KICKS 65 YARDS FROM NO 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,340,0,0
2023100107,2023-10-01,1,8,42,TB,NO,1,10,43,0,0,(8:42) 1-R.WHITE RIGHT TACKLE TO TB 47 FOR 4 YARDS (53-Z.BAUN).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,43,OWN,0,,0,,0,378,0,0
2023100107,2023-10-01,1,8,15,TB,NO,2,6,47,0,0,(8:15) 6-B.MAYFIELD PASS SHORT RIGHT TO 14-C.GODWIN RAN OB AT NO 48 FOR 5 YARDS (53-Z.BAUN).,0,2023,5,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,405,0,0
2023100107,2023-10-01,1,7,43,TB,NO,0,0,100,1,0,TIMEOUT #1 BY NO AT 07:43.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,437,0,0
2023100107,2023-10-01,1,7,43,TB,NO,3,1,52,0,0,"(7:43) PENALTY ON TB-88-C.OTTON, FALSE START, 5 YARDS, ENFORCED AT NO 48 - NO PLAY.",0,2023,0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,48,OPP,1,TB,1,FALSE START,5,437,0,0
2023100107,2023-10-01,1,7,43,TB,NO,3,6,47,1,0,(7:43) (SHOTGUN) 6-B.MAYFIELD SCRAMBLES UP THE MIDDLE TO NO 47 FOR 6 YARDS (20-P.WERNER).,0,2023,6,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,437,0,0
2023100107,2023-10-01,1,7,5,TB,NO,1,10,53,0,0,"(7:05) 6-B.MAYFIELD PASS INCOMPLETE SHORT RIGHT [97-M.ROACH]. PENALTY ON TB-6-B.MAYFIELD, INTENTIONAL GROUNDING, 12 YARDS, ENFORCED AT NO 47.",0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,47,OPP,1,TB,0,INTENTIONAL GROUNDING,12,475,0,0
2023100107,2023-10-01,1,6,58,TB,NO,2,22,41,0,0,"(6:58) (SHOTGUN) 6-B.MAYFIELD PASS SHORT RIGHT TO 88-C.OTTON TO TB 47 FOR 6 YARDS (20-P.WERNER, 97-M.ROACH).",0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,482,0,0
