GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,TEN,CIN
2023100109,2023-10-01,1,9,12,TEN,CIN,0,0,100,1,0,TIMEOUT AT 09:12.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,348,0,0
2023100109,2023-10-01,1,9,12,TEN,CIN,1,10,25,0,0,(9:12) (SHOTGUN) 22-D.HENRY RIGHT TACKLE TO TEN 28 FOR 3 YARDS (29-C.TAYLOR-BRITT; 33-N.SCOTT).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,25,OWN,0,,0,,0,348,0,0
2023100109,2023-10-01,1,8,38,TEN,CIN,2,7,28,0,0,(8:38) (SHOTGUN) 17-R.TANNEHILL PASS SHORT RIGHT TO 32-T.SPEARS TO TEN 34 FOR 6 YARDS (33-N.SCOTT).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,382,0,0
2023100109,2023-10-01,1,8,5,TEN,CIN,3,1,34,1,0,(8:05) 22-D.HENRY LEFT TACKLE TO TEN 36 FOR 2 YARDS (91-T.HENDRICKSON).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,34,OWN,0,,0,,0,415,0,0
2023100109,2023-10-01,1,7,25,TEN,CIN,1,10,36,1,0,(7:25) (SHOTGUN) 22-D.HENRY LEFT END TO TEN 47 FOR 11 YARDS (23-D.HILL).,0,2023,11,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,36,OWN,0,,0,,0,455,0,0
2023100109,2023-10-01,1,6,44,TEN,CIN,1,10,47,0,0,(6:44) (SHOTGUN) 32-T.SPEARS RIGHT GUARD TO CIN 45 FOR 8 YARDS (22-C.AWUZIE).,0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,47,OWN,0,,0,,0,496,0,0
2023100109,2023-10-01,1,6,8,TEN,CIN,2,2,55,0,0,(6:08) 17-R.TANNEHILL PASS INCOMPLETE DEEP LEFT TO 10-D.HOPKINS.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,532,0,0
2023100109,2023-10-01,1,6,0,TEN,CIN,3,2,55,0,0,(6:00) (SHOTGUN) 17-R.TANNEHILL PASS INCOMPLETE DEEP LEFT TO 11-C.MOORE [96-C.SAMPLE].,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,540,0,0
2023100109,2023-10-01,1,5,55,TEN,CIN,4,2,55,1,0,(5:55) (SHOTGUN) 17-R.TANNEHILL PASS SHORT MIDDLE TO 32-T.SPEARS TO CIN 42 FOR 3 YARDS (57-G.PRATT).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,545,0,0
2023100109,2023-10-01,1,5,14,TEN,CIN,1,10,58,0,0,(5:14) (SHOTGUN) 17-R.TANNEHILL SCRAMBLES UP THE MIDDLE TO CIN 35 FOR 7 YARDS (57-G.PRATT).,0,2023,7,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,586,0,0
2023100109,2023-10-01,1,4,35,TEN,CIN,2,3,65,0,0,(4:35) (SHOTGUN) 22-D.HENRY RIGHT END TO CIN 33 FOR 2 YARDS (55-L.WILSON).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,35,OPP,0,,0,,0,625,0,0
2023100109,2023-10-01,1,4,12,TEN,CIN,3,1,67,1,0,(4:12) (NO HUDDLE) 22-D.HENRY UP THE MIDDLE TO CIN 31 FOR 2 YARDS (94-S.HUBBARD).,0,2023,2,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,33,OPP,0,,0,,0,648,0,0
