GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,SF,ARI
2023100112,2023-10-01,1,15,0,ARI,SF,1,10,25,0,0,(15:00) (SHOTGUN) 9-J.DOBBS PASS SHORT LEFT TO 2-M.BROWN TO ARI 31 FOR 6 YARDS (54-F.WARNER).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,0,0,0
2023100112,2023-10-01,1,15,0,ARI,SF,0,0,65,1,0,"4-J.MOODY KICKS 65 YARDS FROM SF 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2023100112,2023-10-01,1,14,23,ARI,SF,2,4,31,0,0,"(14:23) 6-J.CONNER RIGHT GUARD TO ARI 33 FOR 2 YARDS (57-D.GREENLAW, 98-J.HARGRAVE).",0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,31,OWN,0,,0,,0,37,0,0
2023100112,2023-10-01,1,13,37,ARI,SF,3,2,33,0,0,(13:37) (SHOTGUN) 9-J.DOBBS PASS INCOMPLETE SHORT RIGHT TO 86-Z.ERTZ.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,83,0,0
2023100112,2023-10-01,1,13,34,ARI,SF,4,7,28,0,0,"(13:34) 16-N.COONEY PUNTS 49 YARDS TO SF 23, CENTER-46-A.BREWER. 3-R.MCCLOUD PUSHED OB AT SF 38 FOR 15 YARDS (85-T.MCBRIDE, 43-J.LUKETA).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,86,0,0
2023100112,2023-10-01,1,13,23,SF,ARI,1,10,38,0,0,(13:23) 23-C.MCCAFFREY UP THE MIDDLE TO SF 44 FOR 6 YARDS (95-L.FOTU; 47-E.TURNER).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,38,OWN,0,,0,,0,97,0,0
2023100112,2023-10-01,1,12,49,SF,ARI,2,4,44,0,0,(12:49) (SHOTGUN) 19-D.SAMUEL LEFT END PUSHED OB AT SF 47 FOR 3 YARDS (13-K.CLARK).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,44,OWN,0,,0,,0,131,0,0
2023100112,2023-10-01,1,12,16,SF,ARI,3,1,47,1,0,(12:16) 23-C.MCCAFFREY LEFT TACKLE TO ARI 47 FOR 6 YARDS (52-V.DIMUKEJE; 47-E.TURNER).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,47,OWN,0,,0,,0,164,0,0
2023100112,2023-10-01,1,11,39,SF,ARI,1,10,53,0,0,"(11:39) 13-B.PURDY PASS INCOMPLETE DEEP RIGHT TO 44-K.JUSZCZYK. PENALTY ON ARI-7-K.WHITE, DEFENSIVE HOLDING, 5 YARDS, ENFORCED AT ARI 47 - NO PLAY.",0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,1,0,0,,47,OPP,1,ARI,1,DEFENSIVE HOLDING,5,201,0,0
2023100112,2023-10-01,1,11,34,SF,ARI,1,10,58,1,0,(11:34) (SHOTGUN) 13-B.PURDY PASS SHORT MIDDLE TO 11-B.AIYUK TO ARI 26 FOR 16 YARDS (47-E.TURNER; 22-K.WALLACE).,0,2023,16,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,206,0,0
2023100112,2023-10-01,1,10,53,SF,ARI,1,10,74,1,0,(10:53) (SHOTGUN) 13-B.PURDY PASS SHORT MIDDLE TO 23-C.MCCAFFREY TO ARI 14 FOR 12 YARDS (20-MA.WILSON; 22-K.WALLACE).,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,26,OPP,0,,0,,0,247,0,0
2023100112,2023-10-01,1,10,9,SF,ARI,1,10,86,0,0,"(10:09) (SHOTGUN) 13-B.PURDY PASS SHORT LEFT TO 23-C.MCCAFFREY TO ARI 4 FOR 10 YARDS (47-E.TURNER). PENALTY ON ARI-47-E.TURNER, FACE MASK, 2 YARDS, ENFORCED AT ARI 4.",0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,14,OPP,1,ARI,0,FACE MASK,2,291,0,0
2023100112,2023-10-01,1,9,54,SF,ARI,1,2,98,0,0,(9:54) (SHOTGUN) 23-C.MCCAFFREY UP THE MIDDLE TO ARI 1 FOR 1 YARD (95-L.FOTU; 47-E.TURNER).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,2,OPP,0,,0,,0,306,0,0
