GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CAR,MIN
2023100102,2023-10-01,1,9,40,MIN,CAR,2,8,25,0,0,(9:40) (SHOTGUN) 2-A.MATTISON RIGHT GUARD TO MIN 27 FOR 2 YARDS (96-D.WILLIAMS).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0,320,0,0
2023100102,2023-10-01,1,9,14,MIN,CAR,3,6,27,0,0,"(9:14) (NO HUDDLE, SHOTGUN) 8-K.COUSINS PASS SHORT LEFT TO 2-A.MATTISON TO MIN 30 FOR 3 YARDS (13-T.HILL, 50-J.HOUSTON).",0,2023,3,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,346,0,0
2023100102,2023-10-01,1,8,32,MIN,CAR,4,3,30,0,0,"(8:32) 14-R.WRIGHT PUNTS 52 YARDS TO CAR 18, CENTER-42-A.DEPAOLA. 11-I.SMITH-MARSETTE RAN OB AT CAR 31 FOR 13 YARDS (45-T.DYE).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,388,0,0
2023100102,2023-10-01,1,8,22,CAR,MIN,0,0,100,1,0,TIMEOUT AT 08:22.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,398,0,0
2023100102,2023-10-01,1,8,22,CAR,MIN,1,10,31,0,0,(8:22) (SHOTGUN) 9-B.YOUNG PASS SHORT LEFT TO 19-A.THIELEN TO CAR 37 FOR 6 YARDS (44-J.METELLUS).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,398,0,0
2023100102,2023-10-01,1,7,46,CAR,MIN,2,4,37,1,0,(7:46) (SHOTGUN) 5-L.SHENAULT RIGHT GUARD TO CAR 44 FOR 7 YARDS (58-J.HICKS; 93-J.ROY).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,37,OWN,0,,0,,0,434,0,0
2023100102,2023-10-01,1,7,2,CAR,MIN,1,10,44,0,0,(7:02) 30-C.HUBBARD RIGHT TACKLE TO MIN 49 FOR 7 YARDS (58-J.HICKS).,0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,44,OWN,0,,0,,0,478,0,0
2023100102,2023-10-01,1,6,26,CAR,MIN,2,3,51,0,0,(6:26) 6-M.SANDERS UP THE MIDDLE TO MIN 48 FOR 1 YARD (58-J.HICKS; 22-H.SMITH).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,49,OPP,0,,0,,0,514,0,0
2023100102,2023-10-01,1,5,58,CAR,MIN,3,2,52,0,0,"(5:58) (NO HUDDLE, SHOTGUN) 6-M.SANDERS LEFT GUARD TO MIN 47 FOR 1 YARD (98-D.WONNUM).",0,2023,1,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,48,OPP,0,,0,,0,542,0,0
2023100102,2023-10-01,1,5,14,CAR,MIN,4,1,53,1,0,(5:14) 30-C.HUBBARD UP THE MIDDLE TO MIN 41 FOR 6 YARDS (58-J.HICKS; 22-H.SMITH).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,47,OPP,0,,0,,0,586,0,0
