GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,JAX,ATL
2023100100,2023-10-01,1,9,33,JAX,ATL,1,10,28,0,0,(9:33) (SHOTGUN) 16-T.LAWRENCE PASS SHORT LEFT TO 89-L.FARRELL TO JAX 31 FOR 3 YARDS (27-R.GRANT).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,4,327,0,0
2023100100,2023-10-01,1,9,33,JAX,ATL,0,0,100,1,0,TIMEOUT AT 09:33.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,4,327,0,0
2023100100,2023-10-01,1,8,57,JAX,ATL,2,7,31,1,0,(8:57) (SHOTGUN) 16-T.LAWRENCE SCRAMBLES LEFT END PUSHED OB AT ATL 47 FOR 22 YARDS (27-R.GRANT).,0,2023,22,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,4,363,0,0
2023100100,2023-10-01,1,8,16,JAX,ATL,1,10,53,0,0,(8:16) (SHOTGUN) 16-T.LAWRENCE SCRAMBLES RIGHT END RAN OB AT ATL 41 FOR 6 YARDS (27-R.GRANT).,0,2023,6,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,4,404,0,0
2023100100,2023-10-01,1,7,38,JAX,ATL,2,4,59,0,0,(7:38) 1-T.ETIENNE LEFT TACKLE TO ATL 38 FOR 3 YARDS (1-J.OKUDAH; 55-K.ELLISS).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,41,OPP,0,,0,,0,4,442,0,0
2023100100,2023-10-01,1,7,1,JAX,ATL,3,1,62,0,0,(7:01) (SHOTGUN) 16-T.LAWRENCE PASS INCOMPLETE SHORT RIGHT TO 13-C.KIRK [93-C.CAMPBELL].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,4,479,0,0
2023100100,2023-10-01,1,6,54,JAX,ATL,4,1,62,1,0,(6:54) (SHOTGUN) 16-T.LAWRENCE PASS SHORT MIDDLE TO 13-C.KIRK TO ATL 28 FOR 10 YARDS (24-A.TERRELL). JAX-17-E.ENGRAM WAS INJURED DURING THE PLAY.,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,4,486,0,0
2023100100,2023-10-01,1,6,40,JAX,ATL,0,0,100,1,0,TIMEOUT AT 06:40.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,4,500,0,0
2023100100,2023-10-01,1,6,26,JAX,ATL,1,10,72,0,0,"(6:26) (SHOTGUN) 25-D.JOHNSON RIGHT TACKLE TO ATL 30 FOR -2 YARDS (3-J.BATES, 1-J.OKUDAH).",0,2023,-2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,28,OPP,0,,0,,0,4,514,0,0
2023100100,2023-10-01,1,5,50,JAX,ATL,2,12,70,1,0,"(5:50) (SHOTGUN) 16-T.LAWRENCE PASS DEEP RIGHT TO 0-C.RIDLEY FOR 30 YARDS, TOUCHDOWN [55-K.ELLISS].",0,2023,30,SHOTGUN,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,0,0,0,0,,30,OPP,0,,0,,0,4,550,0,0
