GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,DAL,NE
2023100111,2023-10-01,1,15,0,DAL,NE,1,10,25,0,0,(15:00) 4-D.PRESCOTT PASS SHORT RIGHT TO 20-T.POLLARD TO DAL 31 FOR 6 YARDS (27-M.BRYANT; 23-K.DUGGER).,0,2023,6,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,4,0,0,0
2023100111,2023-10-01,1,15,0,DAL,NE,0,0,65,1,0,"37-C.RYLAND KICKS 65 YARDS FROM NE 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,4,0,0,0
2023100111,2023-10-01,1,14,26,DAL,NE,2,4,31,1,0,(14:26) (SHOTGUN) 4-D.PRESCOTT PASS SHORT LEFT TO 13-M.GALLUP PUSHED OB AT NE 40 FOR 29 YARDS (5-J.PEPPERS).,0,2023,29,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,4,34,0,0
2023100111,2023-10-01,1,13,52,DAL,NE,1,10,60,1,0,(13:52) (SHOTGUN) 4-D.PRESCOTT PASS SHORT RIGHT TO 18-J.TOLBERT PUSHED OB AT NE 22 FOR 18 YARDS (23-K.DUGGER).,0,2023,18,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,40,OPP,0,,0,,0,4,68,0,0
2023100111,2023-10-01,1,13,20,DAL,NE,1,10,78,0,0,(13:20) 20-T.POLLARD LEFT GUARD TO NE 18 FOR 4 YARDS (93-L.GUY; 23-K.DUGGER).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,22,OPP,0,,0,,0,4,100,0,0
2023100111,2023-10-01,1,12,46,DAL,NE,2,6,82,0,0,(12:46) 4-D.PRESCOTT PASS INCOMPLETE DEEP MIDDLE TO 86-L.SCHOONMAKER.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,4,134,0,0
2023100111,2023-10-01,1,12,41,DAL,NE,3,6,82,1,0,"(12:41) (SHOTGUN) 4-D.PRESCOTT PASS SHORT RIGHT TO 87-J.FERGUSON TO NE 4 FOR 14 YARDS (23-K.DUGGER, 27-M.BRYANT).",0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,4,139,0,0
2023100111,2023-10-01,1,12,16,DAL,NE,1,4,96,0,0,"(12:16) (NO HUDDLE, SHOTGUN) 4-D.PRESCOTT PASS INCOMPLETE SHORT RIGHT TO 88-C.LAMB.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,4,OPP,0,,0,,0,4,164,0,0
2023100111,2023-10-01,1,12,13,DAL,NE,2,4,96,0,0,(12:13) (SHOTGUN) 4-D.PRESCOTT PASS SHORT MIDDLE TO 87-J.FERGUSON TO NE 1 FOR 3 YARDS (2-J.MILLS; 23-K.DUGGER) [55-J.UCHE].,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,4,OPP,0,,0,,0,4,167,0,0
2023100111,2023-10-01,1,11,37,DAL,NE,3,1,99,0,0,(11:37) 20-T.POLLARD RIGHT END TO NE 5 FOR -4 YARDS (23-K.DUGGER).,0,2023,-4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,1,OPP,0,,0,,0,4,203,0,0
2023100111,2023-10-01,1,11,37,DAL,NE,0,0,100,1,0,TIMEOUT #1 BY NE AT 11:37.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,4,203,0,0
2023100111,2023-10-01,1,10,54,DAL,NE,4,5,95,0,0,"(10:54) 17-B.AUBREY 23 YARD FIELD GOAL IS GOOD, CENTER-44-T.SIEG, HOLDER-5-B.ANGER.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,5,OPP,0,,0,,0,4,246,0,0
2023100111,2023-10-01,1,10,52,NE,DAL,1,10,25,1,0,(10:52) 10-M.JONES PASS SHORT MIDDLE TO 85-H.HENRY TO NE 39 FOR 14 YARDS (28-M.HOOKER).,0,2023,14,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,4,248,0,0
2023100111,2023-10-01,1,10,52,NE,DAL,0,0,65,1,0,"17-B.AUBREY KICKS 65 YARDS FROM DAL 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,4,248,0,0
