GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,KC,NYJ
2023100113,2023-10-01,1,10,46,NYJ,KC,4,5,30,0,0,"(10:46) 5-T.MORSTEAD PUNTS 49 YARDS TO KC 21, CENTER-42-T.HENNESSY. 12-M.WASHINGTON PUSHED OB AT KC 31 FOR 10 YARDS (21-A.DAVIS; 26-B.ECHOLS).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,4,254,0,0
2023100113,2023-10-01,1,10,35,KC,NYJ,1,10,31,0,0,(10:35) (SHOTGUN) 15-P.MAHOMES PASS INCOMPLETE DEEP LEFT TO 83-N.GRAY (56-QU.WILLIAMS).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,4,265,0,0
2023100113,2023-10-01,1,10,35,NYJ,KC,0,0,100,1,0,TIMEOUT AT 10:35.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,4,265,0,0
2023100113,2023-10-01,1,10,28,KC,NYJ,2,10,31,1,0,(10:28) (SHOTGUN) 15-P.MAHOMES SCRAMBLES LEFT END RAN OB AT KC 43 FOR 12 YARDS (4-D.REED).,0,2023,12,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,4,272,0,0
2023100113,2023-10-01,1,9,54,KC,NYJ,1,10,43,0,0,(9:54) (SHOTGUN) 25-C.EDWARDS-HELAIRE LEFT END TO KC 47 FOR 4 YARDS (4-D.REED; 56-QU.WILLIAMS).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,43,OWN,0,,0,,0,4,306,0,0
2023100113,2023-10-01,1,9,21,KC,NYJ,2,6,47,0,0,(9:21) (SHOTGUN) 15-P.MAHOMES SCRAMBLES LEFT END TO NYJ 48 FOR 5 YARDS (56-QU.WILLIAMS).,0,2023,5,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,4,339,0,0
2023100113,2023-10-01,1,8,41,KC,NYJ,3,1,52,1,0,"(8:41) 10-I.PACHECO LEFT TACKLE FOR 48 YARDS, TOUCHDOWN.",0,2023,48,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,LEFT TACKLE,48,OPP,0,,0,,0,4,379,0,0
2023100113,2023-10-01,1,8,32,KC,NYJ,0,0,85,1,0,"7-H.BUTKER EXTRA POINT IS GOOD, CENTER-41-J.WINCHESTER, HOLDER-5-T.TOWNSEND.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,4,388,0,0
2023100113,2023-10-01,1,8,32,NYJ,KC,0,0,100,1,0,TIMEOUT AT 08:32.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,4,388,0,0
2023100113,2023-10-01,1,8,32,NYJ,KC,0,0,65,1,0,"7-H.BUTKER KICKS 66 YARDS FROM KC 35 TO NYJ -1. 82-X.GIPSON TO NYJ 21 FOR 22 YARDS (44-CA.JONES, 54-L.CHENAL).",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,4,388,0,0
