GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,LA,IND
2023100106,2023-10-01,1,10,20,IND,LA,1,10,36,0,0,"(10:20) (NO HUDDLE, SHOTGUN) 5-A.RICHARDSON LEFT TACKLE TO IND 43 FOR 7 YARDS (37-Q.LAKE).",0,2023,7,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,36,OWN,0,,0,,0,4,280,0,0
2023100106,2023-10-01,1,9,56,IND,LA,2,3,43,0,0,"(9:56) (NO HUDDLE, SHOTGUN) 21-Z.MOSS LEFT TACKLE TO IND 42 FOR -1 YARDS (92-J.WILLIAMS, 97-M.HOECHT).",0,2023,-1,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,43,OWN,0,,0,,0,4,304,0,0
2023100106,2023-10-01,1,9,18,IND,LA,3,4,42,0,0,(9:18) (SHOTGUN) 5-A.RICHARDSON SACKED OB AT IND 39 FOR -3 YARDS (53-E.JONES).,0,2023,-3,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,4,342,0,0
2023100106,2023-10-01,1,8,28,IND,LA,4,12,34,0,0,"(8:28) 8-R.SANCHEZ PUNTS 54 YARDS TO LAR 12, CENTER-46-L.RHODES. 81-A.TRAMMELL TO LAR 30 FOR 18 YARDS (50-S.OLUBI, 46-L.RHODES). PENALTY ON LAR-59-T.REEDER, OFFENSIVE HOLDING, 6 YARDS, ENFORCED AT LAR 12.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,1,0,0,,34,OWN,1,LAR,0,OFFENSIVE HOLDING,6,4,392,0,0
2023100106,2023-10-01,1,8,18,IND,LA,0,0,100,1,0,TIMEOUT AT 08:18.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,4,402,0,0
2023100106,2023-10-01,1,8,18,LA,IND,1,10,94,1,0,(8:18) 23-K.WILLIAMS LEFT GUARD TO LAR 16 FOR 10 YARDS (53-S.LEONARD).,0,2023,10,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,6,OPP,0,,0,,0,4,402,0,0
2023100106,2023-10-01,1,7,44,LA,IND,1,10,84,0,0,(7:44) 23-K.WILLIAMS UP THE MIDDLE TO LAR 20 FOR 4 YARDS (44-Z.FRANKLIN).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,16,OPP,0,,0,,0,4,436,0,0
2023100106,2023-10-01,1,7,3,LA,IND,2,6,80,0,0,"(7:03) (SHOTGUN) 9-M.STAFFORD PASS DEEP RIGHT TO 17-P.NACUA TO LAR 46 FOR 26 YARDS (23-K.MOORE). PENALTY ON IND-23-K.MOORE, UNNECESSARY ROUGHNESS, 15 YARDS, ENFORCED AT LAR 46.",0,2023,26,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,1,0,0,,20,OPP,1,IND,0,UNNECESSARY ROUGHNESS,15,4,477,0,0
2023100106,2023-10-01,1,6,34,LA,IND,1,10,61,0,0,(6:34) 23-K.WILLIAMS RIGHT GUARD TO IND 39 FOR NO GAIN (52-S.EBUKAM).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,39,OPP,0,,0,,0,4,506,0,0
2023100106,2023-10-01,1,6,11,LA,IND,2,10,61,0,0,"(6:11) (NO HUDDLE, SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT MIDDLE TO 89-T.HIGBEE.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,4,529,0,0
2023100106,2023-10-01,1,6,7,LA,IND,3,10,61,0,0,(6:07) (SHOTGUN) 9-M.STAFFORD PASS SHORT LEFT TO 89-T.HIGBEE TO IND 32 FOR 7 YARDS (45-E.SPEED; 33-D.FLOWERS).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,4,533,0,0
2023100106,2023-10-01,1,5,26,LA,IND,4,3,68,1,0,(5:26) (SHOTGUN) 9-M.STAFFORD PASS SHORT MIDDLE TO 12-V.JEFFERSON TO IND 16 FOR 16 YARDS (29-J.BRENTS).,0,2023,16,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,32,OPP,0,,0,,0,4,574,0,0
2023100106,2023-10-01,1,4,48,LA,IND,1,10,84,0,0,(4:48) (SHOTGUN) 9-M.STAFFORD PASS SHORT RIGHT TO 88-B.HOPKINS TO IND 11 FOR 5 YARDS (32-J.BLACKMON).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,16,OPP,0,,0,,0,4,612,0,0
