GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,PHI,NYG,Week
2024010711,2024-01-07,1,0,58,PHI,NYG,2,5,19,0,0,(:58) (SHOTGUN) 14-K.GAINWELL UP THE MIDDLE TO PHI 23 FOR 4 YARDS (41-M.MCFADDEN).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,19,OWN,0,,0,,0,842,0,0,18
2024010711,2024-01-07,1,0,35,PHI,NYG,3,1,23,0,0,"(:35) (NO HUDDLE) PENALTY ON NYG-58-B.OKEREKE, ENCROACHMENT, 6 YARDS, ENFORCED AT PHI 23 - NO PLAY.",0,2023,0,NO HUDDLE,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,23,OWN,1,NYG,1,ENCROACHMENT,6,865,0,0,18
2024010711,2024-01-07,1,0,16,PHI,NYG,1,10,29,1,0,(:16) (SHOTGUN) 14-K.GAINWELL LEFT END TO PHI 41 FOR 12 YARDS (41-M.MCFADDEN).,0,2023,12,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,29,OWN,0,,0,,0,884,0,0,18
2024010711,2024-01-07,1,0,0,PHI,NYG,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0,18
2024010711,2024-01-07,2,15,0,PHI,NYG,1,10,41,0,0,(15:00) (SHOTGUN) 1-J.HURTS PASS INCOMPLETE SHORT RIGHT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,900,0,0,18
2024010711,2024-01-07,2,14,56,PHI,NYG,2,10,41,0,0,(14:56) (SHOTGUN) 1-J.HURTS PASS INCOMPLETE DEEP RIGHT TO 16-Q.WATKINS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,904,0,0,18
2024010711,2024-01-07,2,14,51,PHI,NYG,3,15,36,0,0,(14:51) (SHOTGUN) 1-J.HURTS PASS SHORT LEFT TO 16-Q.WATKINS PUSHED OB AT PHI 48 FOR 12 YARDS (44-N.MCCLOUD).,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,909,0,0,18
2024010711,2024-01-07,2,14,51,PHI,NYG,3,10,41,0,0,"(14:51) (SHOTGUN) PENALTY ON PHI-88-D.GOEDERT, FALSE START, 5 YARDS, ENFORCED AT PHI 41 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,41,OWN,1,PHI,1,FALSE START,5,909,0,0,18
2024010711,2024-01-07,2,14,11,PHI,NYG,4,3,48,0,0,(14:11) (SHOTGUN) 1-J.HURTS PASS INCOMPLETE SHORT LEFT TO 88-D.GOEDERT (58-B.OKEREKE).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,48,OWN,0,,0,,0,949,0,0,18
2024010711,2024-01-07,2,9,38,PHI,NYG,0,0,65,1,0,"21-M.CROSBY KICKS 65 YARDS FROM NYG 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1222,0,0,18
