GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,BUF,MIA,Week
2024010713,2024-01-07,1,2,40,MIA,BUF,3,8,54,0,0,(2:40) (SHOTGUN) 1-T.TAGOVAILOA PASS INCOMPLETE SHORT RIGHT TO 10-T.HILL.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,740,0,0,18
2024010713,2024-01-07,1,2,35,MIA,BUF,4,8,54,0,0,"(2:35) 16-J.BAILEY PUNTS 35 YARDS TO BUF 11, CENTER-44-B.FERGUSON, FAIR CATCH BY 11-D.HARTY.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,745,0,0,18
2024010713,2024-01-07,1,2,29,MIA,BUF,0,0,100,1,0,TIMEOUT AT 02:29.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,751,0,0,18
2024010713,2024-01-07,1,0,10,MIA,BUF,1,10,20,0,0,(:10) 28-D.ACHANE SACKED AT MIA 14 FOR -6 YARDS (25-T.DODSON).,0,2023,-6,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,890,0,0,18
2024010713,2024-01-07,1,0,0,MIA,BUF,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0,18
2024010713,2024-01-07,2,15,0,MIA,BUF,2,16,14,0,0,(15:00) (SHOTGUN) 23-J.WILSON LEFT GUARD TO MIA 24 FOR 10 YARDS (21-J.POYER).,0,2023,10,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,14,OWN,0,,0,,0,900,0,0,18
2024010713,2024-01-07,2,14,23,MIA,BUF,3,6,24,1,0,(14:23) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT MIDDLE TO 0-B.BERRIOS TO MIA 31 FOR 7 YARDS (43-T.BERNARD).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,937,0,0,18
2024010713,2024-01-07,2,13,41,MIA,BUF,1,10,31,0,0,(13:41) (SHOTGUN) 28-D.ACHANE LEFT END TO MIA 27 FOR -4 YARDS (50-G.ROUSSEAU).,0,2023,-4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,31,OWN,0,,0,,0,979,0,0,18
2024010713,2024-01-07,2,13,0,MIA,BUF,2,14,27,0,0,(13:00) 28-D.ACHANE RIGHT GUARD TO MIA 27 FOR NO GAIN (7-TA.JOHNSON; 43-T.BERNARD).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,27,OWN,0,,0,,0,1020,0,0,18
2024010713,2024-01-07,2,12,21,MIA,BUF,3,14,27,1,0,(12:21) (SHOTGUN) 1-T.TAGOVAILOA PASS DEEP LEFT TO 10-T.HILL TO 50 FOR 23 YARDS (20-T.RAPP; 43-T.BERNARD).,0,2023,23,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,1059,0,0,18
2024010713,2024-01-07,2,11,44,MIA,BUF,1,10,100,1,0,(11:44) 23-J.WILSON LEFT END TO BUF 37 FOR 13 YARDS (21-J.POYER; 43-T.BERNARD).,0,2023,13,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,0,OPP,0,,0,,0,1096,0,0,18
2024010713,2024-01-07,2,11,4,MIA,BUF,1,10,63,0,0,(11:04) 23-J.WILSON RIGHT END TO BUF 33 FOR 4 YARDS (21-J.POYER).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,37,OPP,0,,0,,0,1136,0,0,18
2024010713,2024-01-07,2,10,22,MIA,BUF,2,6,67,1,0,(10:22) 1-T.TAGOVAILOA SCRAMBLES LEFT END TO BUF 26 FOR 7 YARDS (7-TA.JOHNSON).,0,2023,7,UNDER CENTER,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,33,OPP,0,,0,,0,1178,0,0,18
2024010713,2024-01-07,2,9,40,MIA,BUF,1,10,74,0,0,(9:40) 23-J.WILSON LEFT TACKLE TO BUF 25 FOR 1 YARD (7-TA.JOHNSON; 43-T.BERNARD).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,26,OPP,0,,0,,0,1220,0,0,18
2024010713,2024-01-07,2,8,58,MIA,BUF,2,9,75,1,0,"(8:58) (SHOTGUN) 28-D.ACHANE RIGHT END FOR 25 YARDS, TOUCHDOWN.",0,2023,25,SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,RIGHT END,25,OPP,0,,0,,0,1262,0,0,18
2024010713,2024-01-07,2,8,51,MIA,BUF,0,0,85,1,0,"7-J.SANDERS EXTRA POINT IS GOOD, CENTER-44-B.FERGUSON, HOLDER-16-J.BAILEY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,1269,0,0,18
2024010713,2024-01-07,2,8,51,MIA,BUF,0,0,100,1,0,TIMEOUT AT 08:51.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1269,0,0,18
2024010713,2024-01-07,2,4,31,MIA,BUF,0,0,100,1,0,TIMEOUT AT 04:31.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1529,0,0,18
2024010713,2024-01-07,2,4,31,MIA,BUF,1,10,25,0,0,(4:31) (SHOTGUN) 28-D.ACHANE LEFT END TO MIA 34 FOR 9 YARDS (7-TA.JOHNSON; 54-B.SPECTOR). BUF-31-R.DOUGLAS WAS INJURED DURING THE PLAY. HIS RETURN IS QUESTIONABLE.,0,2023,9,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,25,OWN,0,,0,,0,1529,0,0,18
